Table ES-6:  U.S. Greenhouse Gas Emissions Allocated to Economic Sectors (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Economic Sectors,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Transportation,"1,526.60","1,480.50","1,540.00","1,577.00","1,632.00","1,667.10","1,723.40","1,750.00","1,792.40","1,863.40","1,913.70","1,885.60","1,926.10","1,933.40","1,966.00","1,975.60","1,975.90","1,974.40","1,870.80","1,796.20","1,802.20","1,769.10","1,749.40","1,751.90","1,785.90","1,794.10","1,830.00","1,847.30","1,878.20","1,875.70"
,Electric Power Industry,"1,875.70","1,871.70","1,886.70","1,962.50","1,987.30","2,004.00","2,077.10","2,143.20","2,229.70","2,243.80","2,349.50","2,310.00","2,325.90","2,357.20","2,390.20","2,456.30","2,399.60","2,466.30","2,412.50","2,196.30","2,311.90","2,209.30","2,071.20","2,090.00","2,090.10","1,950.00","1,857.60","1,778.90","1,798.00","1,648.10"
,Industry,"1,640.70","1,613.60","1,649.10","1,620.20","1,645.60","1,662.50","1,691.90","1,691.30","1,661.80","1,609.30","1,598.80","1,549.20","1,532.10","1,510.80","1,559.50","1,518.80","1,550.20","1,541.20","1,481.50","1,326.80","1,418.10","1,421.80","1,415.40","1,466.50","1,451.00","1,441.60","1,402.20","1,423.40","1,483.30","1,504.80"
,Agriculture,600.2,590.8,591.7,619.8,607,619.2,626.2,614.7,621.8,612.7,598.1,618.9,621.9,622.4,635,629.7,628.9,646.1,634.3,636.2,644.5,625.9,609.5,647.9,657.5,658.5,645.8,646.6,662,669.5
,Commercial,429.2,436.5,432.1,425.6,428.9,428,435.7,428.2,403,399.4,413.7,402.7,404.3,420.6,418.5,407.9,394.5,408.5,415.8,419.6,422.1,417.9,398.9,422.3,432.6,445.4,430.1,431.9,447.3,455.3
,Residential,345.1,354.7,361.2,372.6,363.3,367.5,399.5,380.8,346.9,366.7,388,378.1,375.3,393.7,381.9,371,334.3,355.3,363.9,354.5,355.5,349.1,306.9,357.7,378.3,351.5,327.8,329.9,377.3,379.5
,U.S. Territories,25.2,25.8,25.5,26.7,27.8,27.5,27.5,28.3,27.7,30.1,51.8,58.4,58.7,63.3,64.5,63.7,61.1,57.9,45.9,42.4,36.8,34.5,34.5,28.4,29.5,30,26.8,25.4,25.4,25.4
,Total Emissions (Sources),"6,442.70","6,373.60","6,486.30","6,604.30","6,691.80","6,775.90","6,981.20","7,036.50","7,083.30","7,125.40","7,313.60","7,203.00","7,244.30","7,301.40","7,415.50","7,423.00","7,344.50","7,449.60","7,224.60","6,772.00","6,991.10","6,827.40","6,585.90","6,764.70","6,825.00","6,671.10","6,520.30","6,483.30","6,671.40","6,558.30"
,LULUCF Sector Net Total a,-900.8,-898.6,-886.2,-867.5,-883.5,-855.3,-871.1,-855.8,-862.8,-856.6,-854,-852.3,-815.7,-837,-735.1,-788.1,-847.3,-798.8,-791.7,-756.2,-783.9,-800.6,-807,-788.5,-798.5,-763.8,-842.8,-766.1,-801.4,-789.2
,Net Emissions (Sources and Sinks),"5,541.90","5,475.00","5,600.10","5,736.90","5,808.30","5,920.50","6,110.00","6,180.70","6,220.50","6,268.80","6,459.70","6,350.70","6,428.60","6,464.30","6,680.30","6,635.00","6,497.20","6,650.80","6,433.00","6,015.80","6,207.20","6,026.80","5,778.90","5,976.10","6,026.40","5,907.30","5,677.50","5,717.20","5,870.00","5,769.10"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes: Total emissions presented without LULUCF. Total net emissions presented with LULUCF. Totals may not sum due to independent rounding. Parentheses indicate negative values or sequestration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a The LULUCF Sector Net Total is the net sum of all LULUCF CH4 and N2O emissions to the atmosphere plus net carbon stock changes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
