Table 5-7:  CH4 and N2O Emissions from Manure Management (MMT CO2 Eq.) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Animal Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,CH4 a,37.1,38.9,37.5,39.2,42,43.3,42.4,44.3,47.8,47.9,48,49.6,50.3,50.6,48.9,51.6,51.6,56,54.1,53.1,54.9,55.2,57,54.7,54.3,57.9,59.6,59.9,61.7,62.4
,Dairy Cattle,14.7,15.2,14.8,15.4,16.4,17.1,17.4,18.1,19,20.5,21.3,22.6,23.1,24.1,22.8,24.3,24.7,27.6,27.6,27.8,28.1,28.6,29.7,29.2,29.7,30.8,31.5,31.8,32.3,32
,Swine,15.5,16.8,15.9,17,18.5,19.1,18,19.2,21.6,20.3,19.8,19.9,20.3,19.5,19.2,20.3,19.7,21.3,19.6,18.5,19.9,19.8,20.5,18.9,18,20.2,21.1,21,22.2,23.1
,Poultry,3.3,3.3,3.2,3.3,3.3,3.2,3.1,3.2,3.3,3.1,3.2,3.3,3.2,3.3,3.2,3.2,3.3,3.3,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.4,3.4,3.4,3.5,3.6
,Beef Cattle,3.1,3.2,3.2,3.2,3.4,3.5,3.4,3.3,3.4,3.4,3.3,3.3,3.3,3.3,3.2,3.3,3.4,3.3,3.2,3.2,3.3,3.3,3.2,3.1,3,3.1,3.3,3.4,3.4,3.4
,Horses,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
,Sheep,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Goats,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,American Bison,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Mules and Asses,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,N2O b,14,14.2,14.2,14,14.8,15.1,15.1,15.2,15.4,16,16.4,16.2,16.6,16.7,16.1,16.4,17.1,17.2,17,16.9,17,17.2,17.3,17.3,17.3,17.5,18.1,18.7,19.4,19.6
,Beef Cattle,5.9,6,6,5.7,6.2,6.5,6.4,6.4,6.5,7.2,7.4,7.2,7.4,7.5,7,7.2,7.7,7.6,7.5,7.5,7.6,7.7,7.7,7.7,7.8,7.7,8.1,8.6,9.2,9.4
,Dairy Cattle,5.3,5.3,5.3,5.3,5.4,5.4,5.5,5.5,5.5,5.3,5.4,5.5,5.5,5.6,5.3,5.5,5.6,5.7,5.6,5.7,5.7,5.7,5.8,5.8,5.8,6,6.1,6.1,6.1,6.1
,Swine,1.2,1.2,1.3,1.3,1.4,1.4,1.3,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.7,1.8,1.8,1.8,1.7,1.8,1.8,1.8,1.7,1.8,1.9,2,2,2.1
,Poultry,1.4,1.4,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.7
,Sheep,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
,Horses,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Goats,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Mules and Asses,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,American Bison c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Total,51.1,53.1,51.7,53.3,56.7,58.4,57.5,59.5,63.2,63.8,64.4,65.8,66.9,67.3,65,67.9,68.7,73.2,71.1,70,71.9,72.4,74.3,72,71.6,75.4,77.7,78.5,81.1,82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Notes: N2O emissions from manure deposited on pasture, range and paddock are included in the Agricultural Soils Management sector. Totals may not sum due to independent rounding.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NA (Not Available),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a Accounts for CH4 reductions due to capture and destruction of CH4 at facilities using anaerobic digesters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b Includes both direct and indirect N2O emissions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"c There are no American bison N2O emissions from managed systems; American bison are maintained entirely on pasture, range, and paddock.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
