Table 5-16:  N2O Emissions from Agricultural Soils (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Direct,272.5,264.0,259.3,278.3,268.9,269.7,279.4,271.4,270.1,266.8,256.2,271.9,272.7,273.2,281.3,272.6,266.5,274.4,269.6,274.7,278.7,267.2,255.0,291.8,302.8,295.0,281.4,280.3,285.9,290.4
,Cropland,185.9,177.3,173.5,191.3,185.9,183.7,191.4,182.6,180.3,182.3,176.9,186.4,186.6,187.7,187.3,183.7,179.2,184.9,182.7,184.1,185.8,183.9,176.3,197.3,207.0,199.5,190.8,190.4,195.1,196.4
,Grassland,86.6,86.7,85.8,87.0,83.0,86.0,88.0,88.8,89.9,84.6,79.3,85.5,86.2,85.6,94.0,88.8,87.3,89.5,86.9,90.7,92.9,83.3,78.7,94.5,95.8,95.4,90.6,89.9,90.9,94.0
,Indirect,43.4,40.6,43.1,47.6,38.3,43.4,42.7,41.7,46.7,41.9,38.3,44.8,41.6,42.3,47.1,40.8,42.2,45.1,46.4,46.0,45.9,44.7,37.4,48.1,46.9,53.5,48.7,47.3,52.3,54.2
,Cropland,34.2,31.5,33.7,37.9,29.3,34.1,33.7,32.2,36.3,32.7,30.1,35.0,32.1,33.3,36.6,31.6,33.1,35.0,36.6,35.8,36.1,35.2,28.6,37.9,37.6,42.7,38.8,37.4,42.3,43.8
,Grassland,9.2,9.1,9.4,9.7,9.0,9.3,9.1,9.5,10.5,9.3,8.2,9.8,9.5,9.0,10.5,9.2,9.1,10.0,9.9,10.2,9.8,9.5,8.8,10.2,9.3,10.8,9.9,9.8,10.0,10.4
,Total ,315.9,304.6,302.4,325.9,307.2,313.1,322.2,313.0,316.9,308.8,294.5,316.7,314.3,315.6,328.4,313.4,308.7,319.5,316.0,320.7,324.5,311.9,292.4,339.9,349.7,348.5,330.1,327.6,338.2,344.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes: Estimates after 2015 are based on a data splicing method (See Methodology section). Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
