Table 5-3:  CH4 Emissions from Enteric Fermentation (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Livestock Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Beef Cattle,119.1,119.7,125,127.7,131.3,135.5,134.8,131.5,129.8,129,126.7,125.9,126,126,123.9,125.2,127,128.1,126.9,125.8,124.6,121.8,119.1,118,116.5,118,123,126.3,128.1,129.1
Dairy Cattle,39.4,39,38.5,38.2,37.6,37.5,37,36.9,36.6,37.6,38,37.7,37.8,38,36.9,37.6,38.4,40,40.6,41,40.7,41.1,41.7,41.6,42,42.6,43,43.3,43.6,43.2
Swine,2,2.1,2.2,2.2,2.2,2.2,2.1,2.2,2.3,2.3,2.2,2.2,2.3,2.2,2.3,2.3,2.3,2.5,2.5,2.5,2.4,2.5,2.5,2.5,2.4,2.6,2.6,2.7,2.8,2.9
Horses,1,1,0.9,1,1.1,1.2,1.3,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.8,1.7,1.7,1.7,1.6,1.6,1.5,1.4,1.4,1.3,1.2,1.1
Sheep,2.6,2.5,2.4,2.3,2.2,2,1.9,1.8,1.8,1.6,1.6,1.6,1.5,1.4,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
Goats,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
American Bison,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4
Mules and Asses,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Total,164.7,164.9,169.7,172.1,175.2,179.1,177.9,174.6,172.7,172.8,171,170,170.3,170.5,167.3,169.3,172,174.9,174.3,173.4,171.8,169.3,167.1,165.9,164.6,166.9,172.2,175.8,178,178.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
