"Correspondence matrix to merge EERE tool based Energy carrier, Energy carrier type conventions",,,,,,
,,,,,,
,,,,,,
Sector,Subsector,End Use Application,EIA: Energy carrier,EIA: Energy carrier type,Energy carrier,Energy carrier type
Agriculture,-,On farm energy use,Distillate Fuel Oil,-,Diesel,Petroleum Distillate
Agriculture,-,On farm energy use,Electricity,-,Electricity,U.S. Average Grid Mix
Agriculture,-,On farm energy use,Motor Gasoline,"Ethanol, Cellulosic",Motor Gasoline,"Ethanol, Cellulosic"
Agriculture,-,On farm energy use,Motor Gasoline,"Ethanol, Conventional",Motor Gasoline,"Ethanol, Conventional"
Agriculture,-,On farm energy use,Motor Gasoline,Petroleum Gasoline,Motor Gasoline,Petroleum Gasoline
Agriculture,-,On farm energy use,Natural Gas,-,Natural Gas,U.S. Average Mix
Agriculture,-,On farm energy use,Other Petroleum,-,Other Petroleum,-
Agriculture,-,On farm energy use,Propane,-,Propane,-
Agriculture,-,On farm energy use,Renewables,-,Renewables,-
Agriculture,-,On farm energy use,Residual Fuel Oil,-,Residual Fuel Oil,Petroleum Fuel Oil
Agriculture,-,On farm energy use,Steam Coal,-,Steam Coal,Fossil Coal
Commercial,-,Computing,Electricity,-,Electricity,U.S. Average Grid Mix
Commercial,-,Cooking,Electricity,-,Electricity,U.S. Average Grid Mix
Commercial,-,Cooking,Natural Gas,-,Natural Gas,U.S. Average Mix
Commercial,-,Lighting,Electricity,-,Electricity,U.S. Average Grid Mix
Commercial,-,Marketed Renewables,Biomass,-,Biomass,Woody Biomass
Commercial,-,Office Equipment,Electricity,-,Electricity,U.S. Average Grid Mix
Commercial,-,Other Fuels,-,-,Other Petroleum,-
Commercial,-,Other Uses,Distillate Fuel Oil,-,Diesel,Petroleum Distillate
Commercial,-,Other Uses,Electricity,-,Electricity,U.S. Average Grid Mix
Commercial,-,Other Uses,Natural Gas,-,Natural Gas,U.S. Average Mix
Commercial,-,Refrigeration,Electricity,-,Electricity,U.S. Average Grid Mix
Commercial,-,Space Cooling,Electricity,-,Electricity,U.S. Average Grid Mix
Commercial,-,Space Cooling,Natural Gas,-,Natural Gas,U.S. Average Mix
Commercial,-,Space Heating,Distillate Fuel Oil,-,Diesel,Petroleum Distillate
Commercial,-,Space Heating,Electricity,-,Electricity,U.S. Average Grid Mix
Commercial,-,Space Heating,Natural Gas,-,Natural Gas,U.S. Average Mix
Commercial,-,Ventilation,Electricity,-,Electricity,U.S. Average Grid Mix
Commercial,-,Water Heating,Distillate Fuel Oil,-,Diesel,Petroleum Distillate
Commercial,-,Water Heating,Electricity,-,Electricity,U.S. Average Grid Mix
Commercial,-,Water Heating,Natural Gas,-,Natural Gas,U.S. Average Mix
Industrial,Aluminum Industry,-,Distillate Fuel Oil,-,Diesel,Petroleum Distillate
Industrial,Aluminum Industry,-,Electricity,-,Electricity,U.S. Average Grid Mix
Industrial,Aluminum Industry,-,Natural Gas,-,Natural Gas,U.S. Average Mix
Industrial,Aluminum Industry,-,Other Petroleum,-,Other Petroleum,-
Industrial,Aluminum Industry,-,Petroleum Coke,-,Petroleum Coke,Petroleum Coke
Industrial,Aluminum Industry,-,Propane,-,Propane,-
Industrial,Aluminum Industry,-,Renewables,-,Renewables,-
Industrial,Aluminum Industry,-,Residual Fuel Oil,-,Residual Fuel Oil,Petroleum Fuel Oil
Industrial,Aluminum Industry,-,Steam Coal,-,Steam Coal,Fossil Coal
Industrial,Bulk Chemical Industry,Feedstocks,Hydrocarbon Gas Liquid Feedstocks,-,Hydrocarbon Gas Liquid Feedstocks,-
Industrial,Bulk Chemical Industry,Feedstocks,Natural Gas,-,Natural Gas,U.S. Average Mix
Industrial,Bulk Chemical Industry,Feedstocks,Petrochemical Feedstocks,-,Petrochemical Feedstocks,-
Industrial,Bulk Chemical Industry,Heat and Power,Distillate Fuel Oil,-,Diesel,Petroleum Distillate
Industrial,Bulk Chemical Industry,Heat and Power,Electricity,-,Electricity,U.S. Average Grid Mix
Industrial,Bulk Chemical Industry,Heat and Power,Natural Gas,-,Natural Gas,U.S. Average Mix
Industrial,Bulk Chemical Industry,Heat and Power,Other Petroleum,-,Other Petroleum,-
Industrial,Bulk Chemical Industry,Heat and Power,Petroleum Coke,-,Petroleum Coke,Petroleum Coke
Industrial,Bulk Chemical Industry,Heat and Power,Propane,-,Propane,-
Industrial,Bulk Chemical Industry,Heat and Power,Renewables,-,Renewables,-
Industrial,Bulk Chemical Industry,Heat and Power,Residual Fuel Oil,-,Residual Fuel Oil,Petroleum Fuel Oil
Industrial,Bulk Chemical Industry,Heat and Power,Steam Coal,-,Steam Coal,Fossil Coal
Industrial,Cement and Lime Industry,-,Distillate Fuel Oil,-,Diesel,Petroleum Distillate
Industrial,Cement and Lime Industry,-,Electricity,-,Electricity,U.S. Average Grid Mix
Industrial,Cement and Lime Industry,-,Metallurgical Coal,-,Metallurgical Coal,Fossil Coal
Industrial,Cement and Lime Industry,-,Natural Gas,-,Natural Gas,U.S. Average Mix
Industrial,Cement and Lime Industry,-,Other Petroleum,-,Other Petroleum,-
Industrial,Cement and Lime Industry,-,Petroleum Coke,-,Petroleum Coke,Petroleum Coke
Industrial,Cement and Lime Industry,-,Propane,-,Propane,-
Industrial,Cement and Lime Industry,-,Renewables,-,Renewables,-
Industrial,Cement and Lime Industry,-,Residual Fuel Oil,-,Residual Fuel Oil,Petroleum Fuel Oil
Industrial,Cement and Lime Industry,-,Steam Coal,-,Steam Coal,Fossil Coal
Industrial,Food Industry,-,Distillate Fuel Oil,-,Diesel,Petroleum Distillate
Industrial,Food Industry,-,Electricity,-,Electricity,U.S. Average Grid Mix
Industrial,Food Industry,-,Natural Gas,-,Natural Gas,U.S. Average Mix
Industrial,Food Industry,-,Other Petroleum,-,Other Petroleum,-
Industrial,Food Industry,-,Propane,-,Propane,-
