Correspondence file for aggregations of LULUCF end use applications,,
,,
,,
LULUCF end use application_Decarb,Assigned Sector,LULUCF end use application_Front
"N2O Fluxes from Soils, Indirect",LULUCF,N2O Fluxes from Soils
"Off-site, -",LULUCF,Off-site
"On-site, -",LULUCF,On-site
"Organic Soils, -",LULUCF,Organic Soils
"Other Land Converted to Forest Land, Aboveground Biomass",LULUCF,Other Land Converted to Forest Land
"Other Land Converted to Forest Land, Belowground Biomass",LULUCF,Other Land Converted to Forest Land
"Other Land Converted to Forest Land, Dead Wood",LULUCF,Other Land Converted to Forest Land
"Other Land Converted to Forest Land, Litter",LULUCF,Other Land Converted to Forest Land
"Other Land Converted to Forest Land, Mineral Soil",LULUCF,Other Land Converted to Forest Land
"Other Land Converted to Vegetated Coastal Wetlands, -",LULUCF,Other Land Converted to Vegetated Coastal Wetlands
"Other Land Converted to Vegetated Coastal Wetlands, Biomass C Stock",LULUCF,Other Land Converted to Vegetated Coastal Wetlands
"Other Land Converted to Vegetated Coastal Wetlands, Soil C Stock",LULUCF,Other Land Converted to Vegetated Coastal Wetlands
"Other Lands Converted to Cropland, Mineral Soils",LULUCF,Other Lands Converted to Cropland
"Other Lands Converted to Cropland, Organic Soils",LULUCF,Other Lands Converted to Cropland
"Other Lands Converted to Grassland, Mineral Soils",LULUCF,Other Lands Converted to Grassland
"Other Lands Converted to Grassland, Organic Soils",LULUCF,Other Lands Converted to Grassland
"Other Lands Converted to Settlements, Mineral Soils",LULUCF,Other Lands Converted to Settlements
"Other Lands Converted to Settlements, Organic Soils",LULUCF,Other Lands Converted to Settlements
"Settlements Converted to Cropland, Mineral Soils",LULUCF,Settlements Converted to Cropland
"Settlements Converted to Cropland, Organic Soils",LULUCF,Settlements Converted to Cropland
"Settlements Converted to Forest Land, Aboveground Biomass",LULUCF,Settlements Converted to Forest Land
"Settlements Converted to Forest Land, Belowground Biomass",LULUCF,Settlements Converted to Forest Land
"Settlements Converted to Forest Land, Dead Wood",LULUCF,Settlements Converted to Forest Land
"Settlements Converted to Forest Land, Litter",LULUCF,Settlements Converted to Forest Land
"Settlements Converted to Forest Land, Mineral Soil",LULUCF,Settlements Converted to Forest Land
"Settlements Converted to Grassland, Mineral Soils",LULUCF,Settlements Converted to Grassland
"Settlements Converted to Grassland, Organic Soils",LULUCF,Settlements Converted to Grassland
"Settlements Converted to Vegetated Coastal Wetlands, -",LULUCF,Settlements Converted to Vegetated Coastal Wetlands
"Settlements Converted to Vegetated Coastal Wetlands, Biomass C Stock",LULUCF,Settlements Converted to Vegetated Coastal Wetlands
"Settlements Converted to Vegetated Coastal Wetlands, Soil C Stock",LULUCF,Settlements Converted to Vegetated Coastal Wetlands
"Soil C Flux, -",LULUCF,Soil C Flux
"Soil Flux, -",LULUCF,Soil Flux
Sustainable farming,LULUCF,Sustainable Farming
"Wetlands Converted to Cropland, Mineral Soils",LULUCF,Wetlands Converted to Cropland
"Wetlands Converted to Cropland, Organic Soils",LULUCF,Wetlands Converted to Cropland
"Wetlands Converted to Forest Land, Aboveground Biomass",LULUCF,Wetlands Converted to Forest Land
"Wetlands Converted to Forest Land, Belowground Biomass",LULUCF,Wetlands Converted to Forest Land
"Wetlands Converted to Forest Land, Dead Wood",LULUCF,Wetlands Converted to Forest Land
"Wetlands Converted to Forest Land, Litter",LULUCF,Wetlands Converted to Forest Land
"Wetlands Converted to Forest Land, Mineral Soil",LULUCF,Wetlands Converted to Forest Land
"Wetlands Converted to Grassland, Mineral Soils",LULUCF,Wetlands Converted to Grassland
"Wetlands Converted to Grassland, Organic Soils",LULUCF,Wetlands Converted to Grassland
"Wetlands Converted to Settlements, Mineral Soils",LULUCF,Wetlands Converted to Settlements
"Wetlands Converted to Settlements, Organic Soils",LULUCF,Wetlands Converted to Settlements
"Yard Trimmings, Branches",LULUCF,Yard Trimmings
"Yard Trimmings, Grass",LULUCF,Yard Trimmings
"Yard Trimmings, Leaves",LULUCF,Yard Trimmings
