Table 6-85: Area of Managed Land in Settlements Remaining Settlements that is not included in the current Inventory (Thousand Hectares),,,,,,,,,,,,
,,,,,,,,,,,,
,Area (Thousand Hectares),,,,,,,,,,,
Year,SRS Managed Land Area (Section 6),SRS Area Included in Inventory,SRS Area Not Included in Inventory,,,,,,,,,
1990,"30,585","30,425",159,,,,,,,,,
1991,"30,589","30,430",159,,,,,,,,,
1992,"30,593","30,434",159,,,,,,,,,
1993,"30,505","30,346",159,,,,,,,,,
1994,"30,423","30,264",159,,,,,,,,,
1995,"30,365","30,206",159,,,,,,,,,
1996,"30,316","30,157",158,,,,,,,,,
1997,"30,264","30,105",158,,,,,,,,,
1998,"30,200","30,041",159,,,,,,,,,
1999,"30,144","29,992",152,,,,,,,,,
2000,"30,101","29,949",152,,,,,,,,,
2001,"30,041","29,889",152,,,,,,,,,
2002,"30,034","29,882",152,,,,,,,,,
2003,"30,530","30,378",152,,,,,,,,,
2004,"31,011","30,859",152,,,,,,,,,
2005,"31,522","31,370",152,,,,,,,,,
2006,"31,964","31,812",152,,,,,,,,,
2007,"32,469","32,317",152,,,,,,,,,
2008,"33,074","32,922",152,,,,,,,,,
2009,"33,646","33,494",152,,,,,,,,,
2010,"34,221","34,069",152,,,,,,,,,
2011,"34,814","34,662",152,,,,,,,,,
2012,"35,367","35,215",152,,,,,,,,,
2013,"36,308","36,156",152,,,,,,,,,
2014,"37,281","37,129",152,,,,,,,,,
2015,"38,210","38,058",152,,,,,,,,,
2016,ND,ND,ND,,,,,,,,,
2017,ND,ND,ND,,,,,,,,,
2018,ND,ND,ND,,,,,,,,,
2019,ND,ND,ND,,,,,,,,,
,,,,,,,,,,,,
" Note: NRI data are not available after 2015, and these years are designated as ND (No data).",,,,,,,,,,,,
