"Table 6-34:  Approach 2 Quantitative Uncertainty Estimates for Soil, Dead Organic Matter and Biomass C Stock Changes occurring within Land Converted to Cropland (MMT CO2 Eq. and Percent)",,,,,
,,,,,
Source,2018 Flux Estimate,Uncertainty Range Relative to Flux Estimate a,,,
,(MMT CO2 Eq.),(MMT CO2 Eq.),,(%),
,,Lower,Upper,Lower,Upper
,,Bound,Bound,Bound,Bound
Grassland Converted to Cropland,8.4,-31.1,48,-468%,468%
Mineral Soil C Stocks: Tier 3,0.8,-38.5,40.2,-4767%,4767%
Mineral Soil C Stocks: Tier 2,4.3,1.3,7.3,-70%,70%
Organic Soil C Stocks: Tier 2,3.3,0.8,5.8,-75%,75%
Forest Land Converted to Cropland,47.6,8.8,87.2,-81%,83%
Aboveground Live Biomass,28.3,-7.7,64.7,-127%,129%
Belowground Live Biomass,5.6,-1.5,12.8,-127%,129%
Dead Wood ,5.5,-1.6,13.3,-129%,141%
Litter ,8.1,-2.3,19.4,-129%,140%
Mineral Soil C Stocks: Tier 2,0.1,+,0.3,-136%,136%
Organic Soil C Stocks: Tier 2,+,-0.1,0.1,-1350%,1350%
Other Lands Converted to Cropland,-2.3,-3.7,-0.9,-61%,61%
Mineral Soil C Stocks: Tier 2,-2.3,-3.7,-0.9,-61%,61%
Organic Soil C Stocks: Tier 2,+,+,+,+,+
Settlements Converted to Cropland,-0.1,-0.3,+ ,-111%,111%
Mineral Soil C Stocks: Tier 2,-0.2,-0.3,+,-86%,86%
Organic Soil C Stocks: Tier 2,+ ,+ ,0.1,-84%,84%
Wetlands Converted to Croplands,0.6,+ ,1.2,-96%,96%
Mineral Soil C Stocks: Tier 2,0.2,+,0.5,-105%,105%
Organic Soil C Stocks: Tier 2,0.4,-0.2,0.9,-141%,141%
Total: Land Converted to Cropland,54.2,-1.2,110.2,-102%,103%
Aboveground Live Biomass,28.3,-7.7,64.7,-127%,129%
Belowground Live Biomass,5.6,-1.5,12.8,-127%,129%
Dead Wood ,5.5,-1.6,13.3,-129%,141%
Litter ,8.1,-2.3,19.4,-129%,140%
Mineral Soil C Stocks: Tier 3,0.8,-38.5,40.2,-4767%,4767%
Mineral Soil C Stocks: Tier 2,2.2,-1.1,5.5,-151%,151%
Organic Soil C Stocks: Tier 2,3.7,1.2,6.3,-68%,68%
Notes: Totals may not sum due to independent rounding. Parentheses indicate negative values or net sequestration.,,,,,
+ Does not exceed 0.05 MMT CO2 Eq.,,,,,
a Range of C stock change estimates predicted by Monte Carlo Stochastic Simulation for a 95 percent confidence interval. ,,,,,
