Table 6-12:  Quantitative Uncertainty Estimates for Net CO2 Flux from Forest Land Remaining Forest Land: Changes in Forest C Stocks (MMT CO2 Eq. and Percent),,,,,,
,,,,,,
Source,Gas,2019 Flux Estimate,Uncertainty Range Relative to Flux Estimate,,,
,,(MMT CO2 Eq.),(MMT CO2 Eq.),,(%),
,,,Lower,Upper,Lower,Upper
,,,Bound,Bound,Bound,Bound
Forest Ecosystem C Pools a,CO2,-583.3,-651.8,-514.9,-11.70%,11.70%
Harvested Wood Products b,CO2,-108.5,-138.5,-81.7,-27.70%,24.70%
Total Forest,CO2,-691.8,-766.6,-618.3,-10.80%,10.60%
,,,,,,
Note: Parentheses indicate negative values or net uptake. Totals may not sum due to independent rounding ,,,,,,
"a Range of flux estimates predicted through a combination of sample-based and model-based uncertainty for a 95 percent confidence interval, IPCC Approach 1.",,,,,,
"b Range of flux estimates predicted by Monte Carlo stochastic simulation for a 95 percent confidence interval, IPCC Approach 2.",,,,,,
