Table 6-14:  Recalculations of Net C Flux from Forest Ecosystem Pools in Forest Land Remaining Forest Land and Harvested Wood Pools (MMT C),,,,,,,,,,,,
,,,,,,,,,,,,
Carbon Pool (MMT C),Previous Estimate,Current Estimate,Current Estimate,,,,,,,,,
,"Year 2018,","Year 2018,","Year 2019,",,,,,,,,,
,2020 Inventory,2021 Inventory,2021 Inventory,,,,,,,,,
Forest,-153.9,-163.6,-159.1,,,,,,,,,
Aboveground Biomass,-105.1,-109.7,-107.4,,,,,,,,,
Belowground Biomass,-24.2,-24.8,-24.3,,,,,,,,,
Dead Wood,-23.6,-27.7,-27.1,,,,,,,,,
Litter,-0.8,-0.6,-0.1,,,,,,,,,
Soil (Mineral),-0.9,-1.2,-0.7,,,,,,,,,
Soil (Organic),0.4,0.3,0.3,,,,,,,,,
Drained organic soil,0.2,0.2,0.2,,,,,,,,,
Harvested Wood,-26.9,-26.9,-29.6,,,,,,,,,
Products in Use,-8.6,-8.6,-10.7,,,,,,,,,
SWDS,-18.3,-18.3,-18.9,,,,,,,,,
Total Net Flux,-180.9,-190.5,-188.7,,,,,,,,,
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,
