Table 6-27:  Recalculations of the Net C Flux from Forest C Pools in Land Converted to Forest Land by Land Use Change Category (MMT C),,,
,,,
Conversion category and Carbon pool (MMT C),"2018 Estimate, Previous Inventory ","2018 Estimate, Current Inventory","2019 Estimate, Current Inventory"
Cropland Converted to Forest Land,-12.6,-10.9,-10.9
Aboveground Biomass,-7.2,-6.3,-6.3
Belowground Biomass,-1.4,-1.2,-1.2
Dead Wood,-1.6,-1.4,-1.4
Litter,-2.3,-1.9,-1.9
Mineral soil,-0.1,-0.1,-0.1
Grassland Converted to Forest Land,-2.6,-2.9,-2.9
Aboveground Biomass,-1.2,-1.3,-1.3
Belowground Biomass,-0.3,-0.3,-0.3
Dead Wood,-0.2,-0.3,-0.3
Litter,-1,-1.1,-1.1
Mineral soil,0.1,0.1,0.1
Other Land Converted to Forest Land,-4.1,-3,-3
Aboveground Biomass,-1.7,-1.3,-1.3
Belowground Biomass,-0.3,-0.2,-0.2
Dead Wood,-0.5,-0.4,-0.4
Litter,-1.1,-0.7,-0.7
Mineral soil,-0.3,-0.3,-0.3
Settlements Converted to Forest Land,-10.6,-9.4,-9.4
Aboveground Biomass,-6.4,-5.7,-5.7
Belowground Biomass,-1.2,-1.1,-1.1
Dead Wood,-1.2,-1.1,-1.1
Litter,-1.7,-1.5,-1.5
Mineral soil,+,+,+
Wetlands Converted to Forest Land,-0.2,-0.9,-0.9
Aboveground Biomass,-0.1,-0.4,-0.4
Belowground Biomass,0,-0.1,-0.1
Dead Wood,0,-0.1,-0.1
Litter,-0.1,-0.3,-0.3
Mineral soil,+ ,+ ,+ 
Total Aboveground Biomass Flux,-16.6,-15,-15
Total Belowground Biomass Flux,-3.2,-2.9,-2.9
Total Dead Wood Flux,-3.7,-3.2,-3.2
Total Litter Flux,-6.3,-5.6,-5.6
Total SOC (mineral) Flux,-0.3,-0.3,-0.3
Total Flux,-30.2,-27,-27
Notes: Totals may not sum due to independent rounding. Parentheses indicate net uptake. ,,,
+ Absolute value does not exceed 0.05 MMT C. ,,,
