"Table 6-46:  Approach 2 Quantitative Uncertainty Estimates for Soil, Dead Organic Matter and Biomass C Stock Changes occurring within Land Converted to Grassland (MMT CO2 Eq. and Percent)",,,,,
,,,,,
Source,2019 Flux Estimate a,Uncertainty Range Relative to Flux Estimate a,,,
,(MMT CO2 Eq.),(MMT CO2 Eq.),,(%),
,,Lower,Upper,Lower,Upper
,,Bound,Bound,Bound,Bound
Cropland Converted to Grassland,-19.8,-51.1,11.5,-158%,158%
Mineral Soil C Stocks: Tier 3,-15,-46,15.9,-206%,206%
Mineral Soil C Stocks: Tier 2,-6.1,-10.4,-1.8,-70%,70%
Organic Soil C Stocks: Tier 2,1.3,+ ,2.7,-101%,101%
Forest Land Converted to Grassland,14.8,4.2,27,-71%,82%
Aboveground Live Biomass,8.6,-0.4,19.3,-105%,123%
Belowground Live Biomass,2.1,-0.1,4.8,-105%,127%
Dead Wood ,-0.6,-1.9,+,-226%,106%
Litter ,4.6,-0.2,10,-105%,116%
Mineral Soil C Stocks: Tier 2,-0.2,-0.4,+ ,-99%,99%
Organic Soil C Stocks: Tier 2,0.2,+ ,0.4,-110%,110%
Other Lands Converted to Grassland,-17.6,-24.4,-10.8,-39%,39%
Mineral Soil C Stocks: Tier 2,-17.7,-24.5,-10.9,-39%,39%
Organic Soil C Stocks: Tier 2,0.1,+ ,0.2,-146%,146%
Settlements Converted to Grassland,-0.8,-1.1,-0.5,-37%,37%
Mineral Soil C Stocks: Tier 2,-0.8,-1.1,-0.5,-36%,36%
Organic Soil C Stocks: Tier 2,+ ,+,+,-293%,293%
Wetlands Converted to Grasslands,0.2,-0.1,0.5,-137%,137%
Mineral Soil C Stocks: Tier 2,+ ,-0.1,+ ,-130%,130%
Organic Soil C Stocks: Tier 2,0.2,+ ,0.5,-111%,111%
Total: Land Converted to Grassland,-23.2,-56.9,11.1,-146%,148%
Aboveground Live Biomass,8.6,-0.4,19.3,-105%,123%
Belowground Live Biomass,2.1,-0.1,4.8,-105%,127%
Dead Wood ,-0.6,-1.9,+,-226%,106%
Litter ,4.6,-0.2,10,-105%,116%
Mineral Soil C Stocks: Tier 3,-15,-46,15.9,-206%,206%
Mineral Soil C Stocks: Tier 2,-24.8,-32.9,-16.7,-33%,33%
Organic Soil C Stocks: Tier 2,1.8,0.5,3.2,-76%,76%
,,,,,
Notes: Totals may not sum due to independent rounding. Parentheses indicate negative values or net sequestration.,,,,,
+ Absolute value does not exceed 0.05 MMT CO2 Eq.,,,,,
a Range of C stock change estimates predicted by Monte Carlo Stochastic Simulation for a 95 percent confidence interval.,,,,,
