Table A-23:  1995 Energy Consumption Data and CO2 Emissions from Fossil Fuel Combustion by Fuel Type,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Adjusted Consumption (TBtu) a,,,,,,,Emissions b (MMT CO2 Eq.) from Energy Use,,,,,,
Fuel Type,Res.,Comm.,Ind.,Trans.,Elec. ,Terr.,Total,Res.,Comm.,Ind.,Trans.,Elec. ,Terr.,Total
Total Coal,17.5,116.8,"1,557.0",NO,"17,466.3",4.7,"19,162.2",1.7,11.2,147.2,NO,"1,659.9",0.4,"1,820.4"
Residential Coal,17.5,,,,,,17.5,1.7,,,,,,1.7
Commercial Coal,,116.8,,,,,116.8,,11.2,,,,,11.2
Industrial Other Coal,,,"1,557.0",,,,"1,557.0",,,147.2,,,,147.2
Transportation Coal,,,,NO,,,NO,,,,NO,,,NO
Electric Power Coal,,,,,"17,466.3",,"17,466.3",,,,,"1,659.9",,"1,659.9"
U.S. Territory Coal (bit),,,,,,4.7,4.7,,,,,,0.4,0.4
Natural Gas ,"4,954.2","3,096.0","8,725.9",724.0,"4,302.0",,"21,802.0",262.8,164.2,462.8,38.4,228.2,,"1,156.4"
Total Petroleum,"1,259.3",724.1,"3,754.6","21,529.8",754.5,323.7,"28,346.1",88.7,52.4,279.9,"1,542.4",58.7,23.3,"2,045.4"
Asphalt & Road Oil,,,,,,,,,,,,,,
Aviation Gasoline,,,,39.6,,,39.6,,,,2.7,,,2.7
Distillate Fuel Oil,789.7,418.0,965.3,"4,383.3",108.0,62.5,"6,726.8",58.4,30.9,71.4,324.2,8.0,4.6,497.5
Jet Fuel,,,,"2,428.8",NA,57.2,"2,486.0",,,,172.2,NA,4.1,176.3
Kerosene,74.3,22.1,15.4,,,2.0,113.9,5.4,1.6,1.1,,,0.1,8.3
LPG (Propane),395.3,108.9,,17.8,,,521.9,24.9,6.8,,1.1,,,32.8
HGL,,,277.8,,,35.6,313.5,,,17.8,,,2.3,20.1
Lubricants,,,,,,,,,,,,,,
Motor Gasoline,,33.5,370.4,"14,273.1",,84.5,"14,761.5",,2.4,26.3,"1,013.1",,6.0,"1,047.7"
Residual Fuel,,141.5,286.2,387.3,566.0,81.9,"1,462.8",,10.6,21.5,29.1,42.5,6.1,109.8
Other Petroleum,,,,,,,,,,,,,,
AvGas Blend Components,,,5.3,,,,5.3,,,0.4,,,,0.4
Crude Oil,,,14.5,,,,14.5,,,1.1,,,,1.1
MoGas Blend Components,,,,,,,,,,,,,,
Misc. Products,,,,,,,,,,,,,,
Naphtha (<401 deg. F),,,,,,,,,,,,,,
Other Oil (>401 deg. F),,,,,,,,,,,,,,
Pentanes Plus,,,170.3,,,,170.3,,,11.4,,,,11.4
Petroleum Coke,,0.1,600.7,,80.6,,681.4,,+,61.3,,8.2,,69.6
Still Gas,,,"1,369.5",,,,"1,369.5",,,91.4,,,,91.4
Special Naphtha,,,,,,,,,,,,,,
Unfinished Oils,,,-320.9,,,,-320.9,,,-23.8,,,,-23.8
Waxes,,,,,,,,,,,,,,
Geothermal,,,,,45.6,,45.6,,,,,0.4,,0.4
Total (All Fuels),"6,231.0","3,936.9","14,037.5","22,253.7","22,568.4",328.4,"69,355.9",353.1,227.8,889.9,"1,580.8","1,947.2",23.7,"5,022.5"
Note: Parentheses indicate negative values.,,,,,,,,,,,,,,
+ Does not exceed 0.05 TBtu or 0.05 MMT CO2 Eq. ,,,,,,,,,,,,,,
NO (Not Occurring),,,,,,,,,,,,,,
NA (Not Available),,,,,,,,,,,,,,
"a Expressed as gross calorific values (i.e., higher heating values). Adjustments include biofuels, conversion of fossil fuels, non-energy use (see Table A-25), and international bunker fuel consumption (see Table A-26).",,,,,,,,,,,,,,
b Consumption and/or emissions of select fuels are shown as negative due to differences in EIA energy balancing accounting. These are designated with parentheses.,,,,,,,,,,,,,,
