Table A-16:  2014 Energy Consumption Data and CO2 Emissions from Fossil Fuel Combustion by Fuel Type,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Adjusted Consumption (TBtu) a,,,,,,,Emissions b (MMT CO2 Eq.) from Energy Use,,,,,,
Fuel Type,Res.,Comm.,Ind.,Trans.,Elec. ,Terr.,Total,Res.,Comm.,Ind.,Trans.,Elec. ,Terr.,Total
Total Coal,NO,40.2,833.0,NO,"16,427.4",43.8,"17,344.4",NO,3.8,79.2,NO,"1,568.6",4.0,"1,655.7"
Residential Coal,NO,,,,,,NO,NO,,,,,,NO
Commercial Coal,,40.2,,,,,40.2,,3.8,,,,,3.8
Industrial Other Coal,,,833.0,,,,833.0,,,79.2,,,,79.2
Transportation Coal,,,,NO,,,NO,,,,NO,,,NO
Electric Power Coal,,,,,"16,427.4",,"16,427.4",,,,,"1,568.6",,"1,568.6"
U.S. Territory Coal (bit),,,,,,43.8,43.8,,,,,,4.0,4.0
Natural Gas ,"5,242.5","3,571.9","8,817.9",759.7,"8,361.7",60.6,"26,814.3",277.7,189.2,467.0,40.2,442.9,3.2,"1,420.2"
Total Petroleum,"1,003.2",558.1,"3,567.9","23,266.4",295.5,295.7,"28,986.9",68.9,39.4,268.2,"1,668.0",25.3,21.4,"2,091.2"
Asphalt & Road Oil,,,,,,,,,,,,,,
Aviation Gasoline,,,,21.7,,,21.7,,,,1.5,,,1.5
Distillate Fuel Oil,500.0,334.4,"1,273.2","6,002.9",82.2,65.6,"8,258.3",37.1,24.8,94.4,445.3,6.1,4.9,612.6
Jet Fuel,,,,"2,054.3",NA,35.0,"2,089.3",,,,148.4,NA,2.5,150.9
Kerosene,13.7,2.0,2.8,,,0.1,18.7,1.0,0.1,0.2,,,+ ,1.4
LPG (Propane),489.5,160.5,,7.2,,,657.1,30.8,10.1,,0.4,,,41.3
HGL,,,177.9,,,6.4,184.3,,,11.4,,,0.4,11.8
Lubricants,,,,,,,,,,,,,,
Motor Gasoline,,52.7,205.6,"15,103.0",,126.7,"15,488.0",,3.7,14.5,"1,066.6",,8.9,"1,093.8"
Residual Fuel,,7.9,,77.4,95.1,61.9,242.4,,0.6,,5.8,7.1,4.7,18.2
Other Petroleum,,,,,,,,,,,,,,
AvGas Blend Components,,,-0.1,,,,-0.1,,,(+),,,,(+)
Crude Oil,,,,,,,,,,,,,,
MoGas Blend Components,,,,,,,,,,,,,,
Misc. Products,,,,,,,,,,,,,,
Naphtha (<401 deg. F),,,,,,,,,,,,,,
Other Oil (>401 deg. F),,,,,,,,,,,,,,
Pentanes Plus,,,44.5,,,,44.5,,,3.0,,,,3.0
Petroleum Coke,,0.5,592.1,,118.2,,710.8,,0.1,60.5,,12.1,,72.6
Still Gas,,,"1,352.4",,,,"1,352.4",,,90.2,,,,90.2
Special Naphtha,,,,,,,,,,,,,,
Unfinished Oils,,,-80.6,,,,-80.6,,,-6.0,,,,-6.0
Waxes,,,,,,,,,,,,,,
Geothermal,,,,,54.2,,54.2,,,,,0.4,,0.4
Total (All Fuels),"6,245.7","4,170.2","13,218.9","24,026.1","25,138.7",400.1,"73,199.7",346.5,232.4,814.5,"1,708.2","2,037.2",28.7,"5,167.5"
Note: Parentheses indicate negative values.,,,,,,,,,,,,,,
+ Does not exceed 0.05 TBtu or 0.05 MMT CO2 Eq. ,,,,,,,,,,,,,,
NO (Not Occurring),,,,,,,,,,,,,,
NA (Not Available) ,,,,,,,,,,,,,,
"a Expressed as gross calorific values (i.e., higher heating values). Adjustments include biofuels, conversion of fossil fuels, non-energy use (see Table A-25), and international bunker fuel consumption (see Table A-26).",,,,,,,,,,,,,,
b Consumption and/or emissions of select fuels are shown as negative due to differences in EIA energy balancing accounting. These are designated with parentheses.,,,,,,,,,,,,,,
