"Table A-86:  Age Distribution by Vehicle/Fuel Type for On-Road Vehicles, a 2019",,,,,,,
,,,,,,,
Vehicle Age,LDGV,LDGT,HDGV,LDDV,LDDT,HDDV,MC
0,7.00%,7.70%,6.50%,9.80%,8.00%,6.10%,7.10%
1,7.00%,7.80%,6.50%,9.80%,8.10%,6.00%,7.00%
2,7.10%,7.80%,6.40%,9.90%,8.10%,5.90%,7.00%
3,7.10%,7.80%,6.30%,9.80%,8.00%,5.80%,6.50%
4,6.80%,7.40%,6.10%,9.60%,7.60%,5.60%,5.90%
5,6.70%,6.90%,5.50%,9.30%,7.10%,5.10%,5.40%
6,6.30%,6.30%,4.90%,8.80%,6.60%,4.50%,4.80%
7,6.00%,5.80%,4.40%,8.40%,6.10%,4.10%,4.30%
8,3.70%,3.80%,2.40%,5.10%,4.00%,2.50%,3.50%
9,4.00%,3.20%,1.60%,4.80%,2.20%,1.70%,3.10%
10,3.60%,2.30%,1.40%,3.10%,1.90%,2.00%,3.20%
11,4.40%,3.70%,2.70%,0.30%,4.50%,2.90%,5.70%
12,4.70%,3.70%,2.40%,0.20%,3.80%,5.70%,5.10%
13,4.10%,3.60%,3.40%,3.30%,4.60%,4.80%,4.80%
14,3.60%,3.50%,2.60%,2.00%,3.70%,4.40%,4.20%
15,3.00%,3.20%,3.20%,1.10%,3.10%,3.00%,3.60%
16,2.70%,2.70%,2.80%,1.20%,2.60%,2.60%,3.10%
17,2.30%,2.40%,2.70%,1.10%,2.10%,2.10%,2.70%
18,1.90%,2.00%,2.20%,0.60%,2.20%,2.70%,2.30%
19,1.70%,1.80%,4.30%,0.50%,1.10%,4.10%,1.80%
20,1.20%,1.40%,4.00%,0.30%,1.50%,3.20%,1.40%
21,1.00%,1.10%,1.70%,0.20%,0.50%,2.20%,1.20%
22,0.80%,0.90%,3.00%,0.10%,0.70%,2.00%,1.10%
23,0.70%,0.60%,1.80%,0.10%,0.50%,1.80%,1.00%
24,0.60%,0.60%,2.40%,0.10%,0.40%,2.20%,0.70%
25,0.50%,0.50%,1.90%,0.00%,0.20%,1.60%,0.90%
26,0.40%,0.40%,1.50%,0.00%,0.20%,1.20%,0.70%
27,0.30%,0.30%,1.10%,0.00%,0.20%,0.80%,0.60%
28,0.30%,0.20%,0.90%,0.10%,0.10%,0.80%,0.50%
29,0.20%,0.20%,1.20%,0.00%,0.10%,1.00%,0.40%
30,0.30%,0.20%,2.10%,0.00%,0.10%,1.60%,0.30%
Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Note: This year’s Inventory includes updated vehicle population data based on the MOVES2014b Model. ,,,,,,,
"a The following abbreviations correspond to vehicle types: LDGV (light-duty gasoline vehicles), LDGT (light-duty gasoline trucks), HDGV (heavy-duty gasoline vehicles), LDDV (light-duty diesel vehicles), LDDT (light-duty diesel trucks), HDDV (heavy-duty diesel vehicles), and MC (motorcycles).",,,,,,,
Source: EPA (2019a).,,,,,,,
