Table A-179:  Total (Direct and Indirect) Nitrous Oxide Emissions from Livestock Manure Management (kt) a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Dairy Cattle,17.7,17.6,17.7,17.9,18,18.2,18.3,18.3,18.4,17.9,18.1,18.4,18.5,18.8,17.9,18.4,19,19,18.7,19,19,19.3,19.5,19.4,19.6,20.1,20.3,20.4,20.6,20.3
  Dairy Cows,10.6,10.6,10.5,10.5,10.6,10.7,10.8,10.8,10.8,10.4,10.6,10.6,10.7,10.8,10.3,10.5,10.8,10.8,10.7,10.8,10.7,10.9,11.1,11.1,11.2,11.4,11.5,11.6,11.8,11.7
  Dairy Heifer,7.1,7,7.2,7.3,7.4,7.5,7.5,7.5,7.6,7.5,7.6,7.8,7.9,8,7.6,7.8,8.2,8.2,8,8.1,8.3,8.4,8.5,8.3,8.4,8.7,8.8,8.8,8.8,8.7
  Dairy Calves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Swine,4.00,4.2,4.3,4.4,4.6,4.5,4.3,4.6,5,4.9,4.9,5,5.1,5.2,5.3,5.5,5.6,6,6.1,5.9,5.8,5.9,6,6,5.8,6.2,6.3,6.6,6.7,7
  Market Swine,3,3.1,3.3,3.3,3.5,3.5,3.3,3.6,3.9,4,4,4.1,4.3,4.3,4.5,4.6,4.8,5.2,5.3,5.2,5.1,5.2,5.2,5.2,5,5.4,5.6,5.7,5.9,6.1
  Market <50 lbs.,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.9,0.9,1,0.8,0.8,0.7,0.8,0.8,0.7,0.7,0.8,0.8,0.8,0.8,0.9
  Market 50-119 lbs.,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,1,1.2,1.2,1.1,1.2,1.2,1.2,1.1,1.2,1.2,1.3,1.3,1.4
  Market 120-179 lbs.,0.9,0.9,0.9,1,1,1,1,1,1.1,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.3,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.7,1.7,1.8
  Market >180 lbs.,0.9,1,1,1,1.1,1.1,1.1,1.1,1.3,1.3,1.3,1.3,1.4,1.4,1.5,1.5,1.6,1.7,1.8,1.8,1.7,1.8,1.8,1.8,1.7,1.8,1.9,2,2,2.1
  Breeding Swine,1,1.1,1.1,1.1,1.1,1.1,1,1.1,1,1,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Beef Cattle,19.8,20.3,20.1,19.1,20.9,21.8,21.4,21.5,21.6,24,25,24.1,24.8,25,23.6,24,25.7,25.6,25.1,25.1,25.3,25.9,25.8,26,26,25.8,27.2,28.7,31,31.5
  Feedlot Steers,13.4,13.6,13.5,12.8,13.9,14.4,14,13.9,14.1,15.5,16.1,15.4,16,16.3,15.3,15.5,16.7,16.7,16.5,16.5,16.6,16.9,16.7,17,17.3,17.3,18.4,19.3,20.8,21.2
  Feedlot Heifers,6.4,6.6,6.6,6.3,7,7.4,7.4,7.6,7.6,8.5,8.9,8.6,8.7,8.8,8.4,8.5,9,8.9,8.7,8.6,8.7,9.1,9,9,8.8,8.5,8.8,9.4,10.1,10.3
Sheep,0.4,0.4,0.4,0.4,0.6,0.7,0.8,0.9,0.9,1,1.1,1.2,1.2,1.2,1.1,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1,1,1,1,1,1
Goats,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Poultry,4.7,4.8,4.9,5,5.1,5.1,5.3,5.3,5.3,5.3,5.3,5.3,5.4,5.3,5.4,5.4,5.4,5.4,5.4,5.2,5.2,5.2,5.3,5.2,5.2,5.2,5.4,5.5,5.6,5.6
  Hens >1 yr.,1,1,1,1,1,1,1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.3,1.4,1.4,1.5,b
  Total Pullets,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,b
  Chickens,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,b
  Broilers,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.8,2.9,2.9,2.9,2.9,3,2.9,2.9,3,2.9,2.9,2.9,2.7,2.8,2.8,2.9,2.7,2.7,2.8,2.8,2.9,2.9,b
  Turkeys,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,b
Horses,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3
Mules and Asses,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
American Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: American bison are maintained entirely on pasture, range, and paddock. Emissions from manure deposited on pasture are included in the Agricultural Soils Management sector.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+ Does not exceed 0.05 kt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a Disaggregated poultry values (e.g., Broilers, Turkeys, etc.) have not been estimated for the current (1990 through 2019) Inventory. It will be updated for the next (1990 through 2020) Inventory submission.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
