"Table A-180:  Methane Emissions by State from Livestock Manure Management for 2019 (kt) a,b",,,,,,,,,,
State,Beef Cattle b,Dairy Cattle b ,Swine b,Poultry b ,Sheep,Goats,Horses,Mules and Asses,American Bison,Total
Alabama,2.597,0.6539,0.9431,14.2777,0.009,0.019,0.1453,0.0126,0.0004,18.658
Alaska,0.019,0.0083,0.0058,0.3928,0.006,0.0002,0.003,+,0.0033,0.4385
Arizona,1.8199,22.8236,2.9344,1.2735,0.0875,0.0219,0.2331,0.0031,0.0003,29.1973
Arkansas,3.4941,0.5077,2.1049,5.4465,0.009,0.0133,0.1306,0.0087,0.0005,11.7153
California,5.0833,329.5456,1.5365,3.8795,0.3991,0.0492,0.2819,0.0065,0.0046,340.7861
Colorado,4.9474,17.0556,6.7462,4.4197,0.2077,0.0128,0.1961,0.0045,0.0248,33.6149
Connecticut,0.0156,2.604,0.0128,0.1598,0.0038,0.0014,0.021,0.0007,0.0008,2.8199
Delaware,0.0082,0.7016,0.0623,1.1306,0.006,0.0004,0.0078,0.0001,0.0003,1.9173
Florida,3.2825,16.7442,0.156,5.6139,0.009,0.0235,0.2618,0.0124,0.0002,26.1036
Georgia,1.9183,11.5361,1.1291,22.8182,0.009,0.026,0.1484,0.012,0.0004,37.5974
Hawaii,0.3126,0.4541,0.138,0.588,0.009,0.0063,0.0137,0.0004,0.0003,1.5224
Idaho,2.2426,95.8068,0.2125,1.0905,0.1097,0.0075,0.0947,0.0023,0.0479,99.6146
Illinois,1.6164,11.8024,63.0469,0.5847,0.0257,0.0092,0.0817,0.0033,0.0013,77.1717
Indiana,0.8167,18.581,50.6376,1.8749,0.0266,0.0104,0.1529,0.0034,0.0013,72.1048
Iowa,5.6496,33.8749,228.1373,2.4088,0.077,0.0215,0.1002,0.0027,0.0046,270.2766
Kansas,10.3704,31.1596,37.0565,0.1043,0.0313,0.0125,0.1014,0.0032,0.0103,78.8494
Kentucky,2.66,5.2184,4.4147,1.8824,0.0271,0.0146,0.2377,0.0093,0.004,14.4682
Louisiana,1.6747,1.1009,0.0546,2.5533,0.009,0.007,0.1253,0.0073,0.0002,5.5324
Maine,0.0351,3.3247,0.012,0.152,0.0038,0.0014,0.0162,0.0003,0.0005,3.5459
Maryland,0.1417,5.6168,0.1724,1.443,0.006,0.0036,0.0566,0.0014,0.0001,7.4416
Massachusetts,0.0198,0.5108,0.0348,0.0388,0.0038,0.0018,0.0277,0.0008,+,0.6384
Michigan,0.7107,64.6416,12.4077,1.3205,0.0373,0.0074,0.1227,0.003,0.0054,79.2562
Minnesota,2.0272,49.4142,74.293,1.6461,0.0607,0.0091,0.0887,0.0025,0.0053,127.5468
Mississippi,1.8258,0.7213,10.4619,10.7866,0.009,0.0119,0.1141,0.0095,0.0006,23.9406
Missouri,5.3067,8.0597,53.0807,2.0319,0.0467,0.0177,0.1635,0.0084,0.0019,68.7172
Montana,4.6164,1.5076,1.4068,0.8241,0.105,0.0038,0.1547,0.0027,0.0444,8.6655
Nebraska,11.5142,11.3358,46.0411,0.7482,0.0373,0.0074,0.0938,0.0017,0.054,69.8336
Nevada,0.65,6.2466,0.0941,0.0643,0.0285,0.0029,0.0257,0.0004,+,7.1125
New Hampshire,0.0143,1.3386,0.0139,0.154,0.0038,0.001,0.0136,0.0003,0.0006,1.5402
New Jersey,0.0217,0.6247,0.0508,0.1629,0.006,0.0028,0.0465,0.001,0.0002,0.9168
New Mexico,1.4516,38.8152,0.0086,1.219,0.0448,0.0089,0.0865,0.0018,0.0108,41.6472
New York,0.4138,88.9549,0.3207,0.7945,0.0397,0.0073,0.1327,0.0023,0.0022,90.6682
North Carolina,1.4282,5.7061,175.1429,16.4504,0.0189,0.0209,0.1491,0.0125,0.0007,198.9297
North Dakota,2.5934,2.3633,1.2216,0.0996,0.0327,0.0017,0.0542,0.0007,0.0235,6.3907
Ohio,1.1691,33.222,31.2699,1.721,0.0555,0.0152,0.1936,0.0059,0.0019,67.6542
Oklahoma,6.5282,3.6825,45.9594,4.3495,0.0378,0.0366,0.3681,0.0187,0.006,60.9866
Oregon,1.8615,10.1657,0.0623,1.1271,0.077,0.0119,0.1295,0.003,0.0044,13.4425
Pennsylvania,0.8386,48.6026,13.5409,1.8015,0.0448,0.0132,0.1693,0.0073,0.0024,65.0207
Rhode Island,0.004,0.0592,0.0072,0.1602,0.0038,0.0002,0.0039,0.0001,+,0.2387
South Carolina,0.6475,1.8395,4.0787,5.58,0.009,0.0153,0.1243,0.0069,0.0002,12.3014
South Dakota,5.3934,20.776,18.6498,0.2778,0.1167,0.0045,0.1021,0.0015,0.0545,45.3763
Tennessee,3.5044,4.0683,3.8974,0.9312,0.0322,0.0369,0.2632,0.021,0.001,12.7556
Texas,26.7301,62.5412,20.1568,7.8725,0.5251,0.309,0.9836,0.0973,0.0238,119.2393
Utah,1.0865,9.073,5.087,4.2658,0.1284,0.0051,0.1068,0.0013,0.0023,19.756
Vermont,0.0485,12.9769,0.0127,0.039,0.0038,0.0024,0.0163,0.0002,0.0003,13.1002
Virginia,1.7166,8.6173,5.6098,1.8196,0.035,0.0121,0.1266,0.0059,0.0013,17.9442
Washington,1.2747,41.8214,0.0988,1.5168,0.021,0.0074,0.1039,0.0024,0.0022,44.8485
West Virginia,0.5443,0.603,0.0104,0.5523,0.0163,0.006,0.0472,0.0028,0.0002,1.7825
Wisconsin,1.4987,136.4337,2.7568,0.6653,0.035,0.0269,0.1428,0.0032,0.0116,141.574
Wyoming,2.3194,0.9227,0.5007,1.0652,0.161,0.0038,0.1081,0.0024,0.0217,5.105
+ Does not exceed 0.00005 kt.,,,,,,,,,,
a Accounts for CH4 reductions due to capture and destruction of CH4 at facilities using anaerobic digesters.,,,,,,,,,,
"b Disaggregated animal type (E.g., Beef on Feedlots or Dairy Heifer animal types) methane emissions were not estimated by state for the current (1990 through 2019) Inventory. Disaggregated animal types will be estimated for the next (1990 through 2020) Inventory submission.",,,,,,,,,,
