Table A-211:  Net CO2 Flux from Forest Pools in Forest Land Remaining Forest Land and Harvested Wood Pools (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon Pool,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Forest,-663.80,-657.74,-657.05,-652.03,-650.59,-647.11,-638.96,-640.76,-636.87,-630.17,-624.46,-622.12,-595.74,-608.24,-509.11,-555.48,-613.33,-609.59,-614.58,-584.83,-611.81,-597.26,-600.14,-590.95,-614.33,-582.69,-629.46,-563.99,-599.85,-583.33
Aboveground Biomass,-456.36,-452.96,-450.65,-447.37,-445.16,-442.32,-438.00,-436.47,-433.68,-429.62,-425.98,-422.09,-414.44,-414.98,-394.74,-401.33,-413.24,-413.04,-414.26,-410.42,-415.36,-412.84,-408.68,-413.75,-415.49,-414.22,-421.28,-395.06,-402.39,-393.96
Belowground Biomass,-103.70,-103.06,-102.45,-101.81,-101.25,-100.65,-99.91,-99.52,-98.95,-98.13,-97.28,-96.41,-94.89,-94.76,-90.51,-92.00,-94.16,-94.07,-94.23,-92.74,-94.17,-92.39,-94.63,-93.33,-93.68,-92.61,-94.99,-89.22,-90.94,-89.16
Dead Wood,-97.27,-97.12,-97.57,-97.52,-97.82,-97.92,-97.65,-98.30,-98.40,-98.20,-98.07,-98.35,-96.13,-97.85,-88.73,-93.47,-99.34,-99.13,-99.89,-96.66,-99.88,-100.27,-99.26,-98.38,-100.69,-98.72,-105.11,-97.09,-101.73,-99.30
Litter,-8.05,-5.91,-7.66,-6.54,-7.45,-7.19,-4.04,-6.94,-6.15,-4.35,-3.07,-5.07,10.10,-0.06,65.64,32.22,-5.31,-2.93,-4.97,16.72,0.74,-1.97,-2.09,8.80,-2.95,30.50,-3.24,0.21,-2.30,-0.48
Soil (Mineral),1.47,1.17,1.14,1.05,0.89,0.73,0.38,0.18,-0.01,-0.23,-0.45,-0.62,-0.84,-1.08,-1.29,-1.47,-1.86,-1.03,-1.88,-2.42,-2.97,4.69,3.27,4.46,-2.47,-7.30,-6.82,14.30,-4.45,-2.39
Soil (Organic),-0.64,-0.63,-0.61,-0.59,-0.56,-0.53,-0.50,-0.46,-0.43,-0.40,-0.37,-0.34,-0.30,-0.27,-0.24,-0.21,-0.18,-0.15,-0.12,-0.07,-0.93,4.77,0.48,0.50,0.19,-1.10,1.23,2.12,1.22,1.21
Drained Organic Soila,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76
Harvested Wood,-123.76,-123.79,-120.71,-122.50,-118.41,-112.22,-117.34,-114.19,-119.04,-112.86,-93.45,-98.18,-93.73,-104.07,-105.37,-106.05,-100.28,-76.11,-54.47,-60.84,-69.05,-71.00,-76.47,-82.60,-85.96,-88.72,-92.41,-95.75,-98.78,-108.45
Products in Use,-54.78,-59.89,-54.89,-58.41,-55.24,-51.67,-54.05,-49.15,-51.74,-47.00,-31.94,-35.09,-34.46,-44.42,-45.41,-42.64,-36.56,-13.46,6.60,-0.01,-7.36,-8.74,-13.65,-19.30,-22.25,-24.59,-27.84,-30.29,-31.54,-39.19
SWDS,-68.98,-63.90,-65.81,-64.09,-63.17,-60.55,-63.30,-65.04,-67.30,-65.86,-61.51,-63.09,-59.27,-59.65,-59.96,-63.41,-63.72,-62.65,-61.07,-60.83,-61.70,-62.26,-62.83,-63.31,-63.70,-64.13,-64.56,-65.46,-67.25,-69.27
Total Net Flux,-787.56,-781.53,-777.76,-774.53,-769.00,-759.33,-756.31,-754.95,-755.91,-743.03,-717.91,-720.30,-689.47,-712.30,-614.49,-661.53,-713.61,-685.71,-669.05,-645.67,-680.87,-668.25,-676.62,-673.55,-700.29,-671.41,-721.87,-659.74,-698.63,-691.78
Note: Parentheses indicate negative values. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a These estimates include C stock changes from drained organic soils from both Forest Land Remaining Forest Land and Land Converted to Forest Land.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
