Table A-84:  Vehicle Miles Traveled for Alternative Fuel On-Road Vehicles (billion miles),,,
,,,
Year,Passenger Cars,Light-Duty Trucks,Heavy-Duty Vehicles a
1990,0,0.1,0.4
1991,0,0.1,0.4
1992,0,0.1,0.3
1993,0,0.1,0.4
1994,0.1,0.1,0.4
1995,0.1,0.1,0.4
1996,0.1,0.1,0.4
1997,0.1,0.1,0.4
1998,0.1,0.1,0.4
1999,0.1,0.1,0.4
2000,0.1,0.2,0.5
2001,0.1,0.2,0.6
2002,0.2,0.3,0.7
2003,0.1,0.3,0.8
2004,0.2,0.2,0.9
2005,0.2,0.3,1.3
2006,0.2,0.4,2.3
2007,0.2,0.4,2.8
2008,0.2,0.4,2.5
2009,0.2,0.4,2.6
2010,0.2,0.4,2.2
2011,0.5,0.9,5.9
2012,0.9,1,6
2013,1.8,1.4,9.1
2014,2.7,1.4,9.1
2015,3.7,1.5,9.7
2016,4.9,2.3,13.3
2017,6.2,2.6,12.8
2018,9.1,3,12.4
2019,11.7,3.3,11.6
"Note: In 2017, estimates of alternative fuel vehicle mileage for the last ten years were revised to reflect updates made to EIA data on alternative fuel use and vehicle counts. These changes were incorporated into this year’s Inventory and apply to the 2005 to 2019 time period.",,,
"a Heavy Duty-Vehicles includes medium-duty trucks, heavy-duty trucks, and buses. ",,,
"Source: Derived from Browning (2017), Browning (2018a), and EIA (2019h).",,,
