"Table A-9: 1990-2019 Key Category Approach 1 and 2 Analysis—Trend Assessment, with LULUCF",,,,,,,
CRF Source/Sink Category,Greenhouse Gas,1990 Estimate (MMT CO2 Eq.),2019 Estimate (MMT CO2 Eq.),Approach 1 Trend Assessment,Approach 2 Trend Assessment,% Contribution to Trend,Cumulative Total
1.A.1 N2O Emissions from Stationary Combustion - Coal - Electricity Generation,N2O,20.1,16.7,<0.01,<0.001,0.1,98
2.B.10 CO2 Emissions from Carbon Dioxide Consumption,CO2,1.5,4.9,<0.01,<0.001,0.1,98
5.C.1 CO2 Emissions from Incineration of Waste,CO2,8.1,11.5,<0.01,<0.001,0.1,98
1.A.4.b CO2 Emissions from Stationary Combustion - Coal - Residential,CO2,3,0,<0.01,<0.001,0.1,98
3.H CO2 Emissions from Urea Fertilization,CO2,2.4,5.3,<0.01,<0.001,0.1,98
2.F.3 Emissions from Substitutes for Ozone Depleting Substances: Fire Protection,"HFCs, PFCs",0,2.8,<0.01,<0.001,0.1,98
1.A.5 CO2 Emissions from Stationary Combustion - Gas - U.S. Territories,CO2,0,2.5,<0.01,<0.001,0.1,99
2.B.10 CO2 Emissions from Urea Consumption for Non-Ag Purposes,CO2,3.8,6.2,<0.01,<0.001,0.1,99
2.B.2 N2O Emissions from Nitric Acid Production,N2O,12.1,10,<0.01,<0.001,0.1,99
3.G CO2 Emissions from Liming,CO2,4.7,2.4,<0.01,<0.001,0.1,99
1.A.5 CO2 Emissions from Stationary Combustion - Coal - U.S. Territories,CO2,0.5,2.5,<0.01,<0.001,0.1,99
2.F.5 Emissions from Substitutes for Ozone Depleting Substances: Solvents,"HFCs, PFCs",0,2,<0.01,<0.001,0.1,99
5.D CH4 Emissions from Wastewater Treatment,CH4,20.2,18.4,<0.01,<0.001,0.1,99
1.A.5 CO2 Emissions from Stationary Combustion - Oil - U.S. Territories,CO2,21.2,19.5,<0.01,<0.001,0.1,99
4.B.2 Net CO2 Emissions from Land Converted to Cropland,CO2,51.8,54.2,<0.01,<0.001,0.1,99
5.B.1 CH4 Emissions from Composting,CH4,0.4,2.3,<0.01,<0.001,0.1,99
5.B.1 N2O Emissions from Composting,N2O,0.3,2,<0.01,<0.001,0.1,99
1.A.3.e N2O Emissions from Mobile Combustion: Other,N2O,4.8,6.5,<0.01,<0.001,0.1,99
1.B.1 Fugitive Emissions from Abandoned Underground Coal Mines,CH4,7.2,5.9,<0.01,<0.001,<0.1,99
3.B.4 N2O Emissions from Manure Management: Other Livestock,N2O,2.8,4.2,<0.01,<0.001,<0.1,99
1.A.3.c CO2 Emissions from Mobile Combustion: Railways,CO2,35.5,37.1,<0.01,<0.001,<0.1,99
3.C CH4 Emissions from Rice Cultivation,CH4,16,15.1,<0.01,<0.001,<0.1,100
2.A.4 CO2 Emissions from Other Process Uses of Carbonates,CO2,6.3,7.5,<0.01,<0.001,<0.1,100
1.A.1 CH4 Emissions from Stationary Combustion - Gas - Electricity Generation,CH4,0.1,1.1,<0.01,<0.001,<0.1,100
2.B.1 CO2 Emissions from Ammonia Production,CO2,13,12.3,<0.01,<0.001,<0.1,100
"2.E PFC, HFC, SF6, and NF3 Emissions from Electronics Industry","HFCs, PFCs",3.6,4.4,<0.01,<0.001,<0.1,100
1.A.4.b CH4 Emissions from Stationary Combustion - Residential,CH4,5.2,4.6,<0.01,<0.001,<0.1,100
2.B.10 CO2 Emissions from Phosphoric Acid Production,CO2,1.5,0.9,<0.01,<0.001,<0.1,100
1.A.2 N2O Emissions from Stationary Combustion - Industrial,N2O,3.1,2.5,<0.01,<0.001,<0.1,100
2.C.2 CO2 Emissions from Ferroalloy Production,CO2,2.2,1.6,<0.01,<0.001,<0.1,100
4.D.1 Net CO2 Emissions from Wetlands Remaining Wetlands,CO2,7.4,8,<0.01,<0.001,<0.1,100
4.D.2 Net CO2 Emissions from Land Converted to Wetlands,CO2,0.4,+,<0.01,<0.001,<0.1,100
2.C.6 CO2 Emissions from Zinc Production,CO2,0.6,1,<0.01,<0.001,<0.1,100
4.E.1 N2O Emissions from Settlement Soils,N2O,2,2.4,<0.01,<0.001,<0.1,100
4.A.1 N2O Emissions from Forest Soils,N2O,0.1,0.5,<0.01,<0.001,<0.1,100
2.B.7 CO2 Emissions from Soda Ash Production,CO2,1.4,1.8,<0.01,<0.001,<0.1,100
1.A.2 CH4 Emissions from Stationary Combustion - Industrial,CH4,1.8,1.5,<0.01,<0.001,<0.1,100
"2.B.4 N2O Emissions from Caprolactam, Glyoxal, and Glyoxylic Acid Production",N2O,1.7,1.4,<0.01,<0.001,<0.1,100
2.A.2 CO2 Emissions from Lime Production,CO2,11.7,12.1,<0.01,<0.001,<0.1,100
2.A.3 CO2 Emissions from Glass Production,CO2,1.5,1.3,<0.01,<0.001,<0.1,100
1.B.2 CH4 Emissions from Abandoned Oil and Gas Wells,CH4,6.8,6.6,<0.01,<0.001,<0.1,100
2.B.6 CO2 Emissions from Titanium Dioxide Production,CO2,1.2,1.5,<0.01,<0.001,<0.1,100
1.A.3.e CH4 Emissions from Mobile Combustion: Other,CH4,0.7,0.9,<0.01,<0.001,<0.1,100
4.C.1 N2O Emissions from Grass Fires,N2O,0.1,0.3,<0.01,<0.001,<0.1,100
4.C.1 CH4 Emissions from Grass Fires,CH4,0.1,0.3,<0.01,<0.001,<0.1,100
2.B.5 CO2 Emissions from Silicon Carbide Production and Consumption,CO2,0.4,0.2,<0.01,<0.001,<0.1,100
2.E N2O Emissions from Electronics Industry,N2O,+,0.2,<0.01,<0.001,<0.1,100
4.A.2 Net CO2 Emissions from Land Converted to Forest Land,CO2,98.2,99.1,<0.01,<0.001,<0.1,100
1.A.1 CO2 Emissions from Stationary Combustion - Geothermal Energy,CO2,0.5,0.4,<0.01,<0.001,<0.1,100
5.B.2 CH4 Emissions from Anaerobic Digestion at Biogas Facilities,CH4,+,0.2,<0.01,<0.001,<0.1,100
5.C.1 N2O Emissions from Incineration of Waste,N2O,0.5,0.3,<0.01,<0.001,<0.1,100
1.A.4.a CH4 Emissions from Stationary Combustion - Commercial,CH4,1.1,1.2,<0.01,<0.001,<0.1,100
1.A.4.b N2O Emissions from Stationary Combustion - Residential,N2O,1,0.9,<0.01,<0.001,<0.1,100
1.A.1 CH4 Emissions from Stationary Combustion - Coal - Electricity Generation,CH4,0.3,0.2,<0.01,<0.001,<0.1,100
1.A.3.a N2O Emissions from Mobile Combustion: Aviation,N2O,1.7,1.6,<0.01,<0.001,<0.1,100
2.B.8 CH4 Emissions from Petrochemical Production,CH4,0.2,0.3,<0.01,<0.001,<0.1,100
4.D.2 CH4 Emissions from Land Converted to Coastal Wetlands,CH4,0.2,0.2,<0.01,<0.001,<0.1,100
1.A.1 N2O Emissions from Stationary Combustion - Oil - Electricity Generation,N2O,0.1,+,<0.01,<0.001,<0.1,100
2.C.4 HFC-134a Emissions from Magnesium Production and Processing,HFCs,0,0.1,<0.01,<0.001,<0.1,100
2.G.3 N2O Emissions from Product Uses,N2O,4.2,4.2,<0.01,<0.001,<0.1,100
4.D.1 CH4 Emissions from Coastal Wetlands Remaining Coastal Wetlands,CH4,3.7,3.8,<0.01,<0.001,<0.1,100
1.A.3.d N2O Emissions from Mobile Combustion: Marine,N2O,0.3,0.2,<0.01,<0.001,<0.1,100
3.F CH4 Emissions from Field Burning of Agricultural Residues,CH4,0.4,0.4,<0.01,<0.001,<0.1,100
1.A.4.a N2O Emissions from Stationary Combustion - Commercial,N2O,0.4,0.3,<0.01,<0.001,<0.1,100
3.A.4 CH4 Emissions from Enteric Fermentation: Other Livestock,CH4,6.3,6.3,<0.01,<0.001,<0.1,100
1.A.3.a CH4 Emissions from Mobile Combustion: Aviation,CH4,0.1,+,<0.01,<0.001,<0.1,100
1.B.2.a N2O Emissions from Petroleum Systems,N2O,+,+,<0.01,<0.001,<0.1,100
3.F N2O Emissions from Field Burning of Agricultural Residues,N2O,0.2,0.2,<0.01,<0.001,<0.1,100
2.B.5 CH4 Emissions from Silicon Carbide Production and Consumption,CH4,+,+,<0.01,<0.001,<0.1,100
1.A.3.c N2O Emissions from Mobile Combustion: Railways,N2O,0.3,0.3,<0.01,<0.001,<0.1,100
1.A.1 N2O Emissions from Stationary Combustion - Wood - Electricity Generation,N2O,+,+,<0.01,<0.001,<0.1,100
2.C.5 CO2 Emissions from Lead Production,CO2,0.5,0.5,<0.01,<0.001,<0.1,100
1.A.1 CH4 Emissions from Stationary Combustion - Oil - Electricity Generation,CH4,+,+,<0.01,<0.001,<0.1,100
2.C.1 CH4 Emissions from Iron and Steel Production & Metallurgical Coke Production,CH4,+,+,<0.01,<0.001,<0.1,100
1.A.3.d CH4 Emissions from Mobile Combustion: Marine,CH4,0.4,0.4,<0.01,<0.001,<0.1,100
4.D.1 N2O Emissions from Coastal Wetlands Remaining Coastal Wetlands,N2O,0.1,0.1,<0.01,<0.001,<0.1,100
1.B.2.b N2O Emissions from Natural Gas Systems,N2O,+,+,<0.01,<0.001,<0.1,100
2.C.2 CH4 Emissions from Ferroalloy Production,CH4,+,+,<0.01,<0.001,<0.1,100
1.A.5 N2O Emissions from Stationary Combustion - U.S. Territories,N2O,0.1,0.1,<0.01,<0.001,<0.1,100
1.A.3.c CH4 Emissions from Mobile Combustion: Railways,CH4,0.1,0.1,<0.01,<0.001,<0.1,100
4.D.1 CH4 Emissions from Peatlands Remaining Peatlands,CH4,+,+,<0.01,<0.001,<0.1,100
1.A.5 CH4 Emissions from Stationary Combustion - U.S. Territories,CH4,+,+,<0.01,<0.001,<0.1,100
1.A.1 CH4 Emissions from Stationary Combustion - Wood - Electricity Generation,CH4,+,+,<0.01,<0.001,<0.1,100
4.A.4 N2O Emissions from Drained Organic Soils,N2O,0.1,0.1,<0.01,<0.001,<0.1,100
1.A.5.b CH4 Emissions from Mobile Combustion: Military,CH4,+,+,<0.01,<0.001,<0.1,100
4.D.1 N2O Emissions from Peatlands Remaining Peatlands,N2O,+,+,<0.01,<0.001,<0.1,100
1.A.5.b N2O Emissions from Mobile Combustion: Military,N2O,+,+,<0.01,<0.001,<0.1,100
4.A.4 CH4 Emissions from Drained Organic Soils,CH4,+,+,<0.01,<0.001,<0.1,100
1.B.2 CO2 Emissions from Abandoned Oil and Gas Wells,CO2,+,+,<0.01,<0.001,<0.1,100
5.C.1 CH4 Emissions from Incineration of Waste,CH4,+,+,<0.01,<0.001,<0.1,100
2.C.4 CO2 Emissions from Magnesium Production and Processing,CO2,+,+,<0.01,<0.001,<0.1,100
+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,
