Table A-108:  Commercial Aviation Fuel Burn for the United States and Territories,,,,,,
,,,,,,
Year,Region,Distance Flown (nmi),Fuel Burn (M Gallon),Fuel Burn (TBtu),Fuel Burn (Kg),CO2 (MMT)
1990,Domestic U.S. 50 States and U.S. Territories,"4,057,195,988","11,568","1,562","34,820,800,463",109.9
,International U.S. 50 States and U.S. Territories,"599,486,893","3,155",426,"9,497,397,919",30
,Domestic U.S. 50 States,"3,984,482,217","11,287","1,524","33,972,832,399",107.2
,International U.S. 50 States ,"617,671,849","3,228",436,"9,714,974,766",30.7
1995a,Domestic U.S. 50 States and U.S. Territories,NA,"12,136","1,638","36,528,990,675",115.2
1996a,Domestic U.S. 50 States and U.S. Territories,NA,"12,492","1,686","37,600,624,534",118.6
1997a,Domestic U.S. 50 States and U.S. Territories,NA,"12,937","1,747","38,940,896,854",122.9
1998a,Domestic U.S. 50 States and U.S. Territories,NA,"12,601","1,701","37,930,582,643",119.7
1999a,Domestic U.S. 50 States and U.S. Territories,NA,"13,726","1,853","41,314,843,250",130.3
2000,Domestic U.S. 50 States and U.S. Territories,"5,994,679,944","14,672","1,981","44,161,841,348",139.3
,International U.S. 50 States and U.S. Territories,"1,309,565,963","6,040",815,"18,181,535,058",57.4
,Domestic U.S. 50 States,"5,891,481,028","14,349","1,937","43,191,000,202",136.3
,International U.S. 50 States ,"1,331,784,289","6,117",826,"18,412,169,613",58.1
2001a,Domestic U.S. 50 States and U.S. Territories,"5,360,977,447","13,121","1,771","39,493,457,147",124.6
,International U.S. 50 States and U.S. Territories,"1,171,130,679","5,402",729,"16,259,550,186",51.3
,Domestic U.S. 50 States,"5,268,687,772","12,832","1,732","38,625,244,409",121.9
,International U.S. 50 States ,"1,191,000,288","5,470",739,"16,465,804,174",51.9
2002a,Domestic U.S. 50 States and U.S. Territories,"5,219,345,344","12,774","1,725","38,450,076,259",121.3
,International U.S. 50 States and U.S. Territories,"1,140,190,481","5,259",710,"15,829,987,794",49.9
,Domestic U.S. 50 States,"5,129,493,877","12,493","1,687","37,604,800,905",118.6
,International U.S. 50 States ,"1,159,535,153","5,326",719,"16,030,792,741",50.6
2003a,Domestic U.S. 50 States and U.S. Territories,"5,288,138,079","12,942","1,747","38,956,861,262",122.9
,International U.S. 50 States and U.S. Territories,"1,155,218,577","5,328",719,"16,038,632,384",50.6
