Table A-216:  Annual change in Mineral Soil C stocks from U.S. agricultural soils that were estimated using a Tier 2 method (MMT C/year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cropland Converted to Forest Land,0.08,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.06,0.06,0.06,0.06
  ,(0.03 to 0.13),(0.03 to 0.12),(0.03 to 0.13),(0.03 to 0.12),(0.03 to 0.12),(0.03 to 0.12),(0.03 to 0.12),(0.03 to 0.13),(0.03 to 0.13),(0.02 to 0.12),(0.02 to 0.12),(0.02 to 0.13),(0.02 to 0.13),(0.02 to 0.13),(0.02 to 0.12),(0.02 to 0.13),(0.02 to 0.12),(0.02 to 0.12),(0.01 to 0.11),(0.02 to 0.11),(0.01 to 0.11),(0.01 to 0.11),(0.01 to 0.11),(0.01 to 0.1),(0.01 to 0.1),(0.01 to 0.1),(-0.02 to 0.13),(-0.02 to 0.13),(-0.02 to 0.13),(-0.02 to 0.13)
Grassland Converted to Forest Land,-0.05,-0.05,-0.07,-0.06,-0.06,-0.05,-0.06,-0.07,-0.07,-0.06,-0.07,-0.07,-0.07,-0.07,-0.08,-0.08,-0.07,-0.08,-0.08,-0.09,-0.08,-0.07,-0.08,-0.08,-0.09,-0.08,-0.08,-0.08,-0.07,-0.07
  ,(-0.08 to -0.01),(-0.1 to -0.01),(-0.12 to -0.01),(-0.11 to -0.01),(-0.1 to -0.01),(-0.1 to -0.01),(-0.1 to -0.01),(-0.13 to -0.01),(-0.12 to -0.01),(-0.11 to -0.01),(-0.12 to -0.01),(-0.12 to -0.01),(-0.12 to -0.01),(-0.13 to -0.02),(-0.14 to -0.02),(-0.14 to -0.02),(-0.13 to -0.02),(-0.14 to -0.02),(-0.15 to -0.02),(-0.15 to -0.02),(-0.15 to -0.02),(-0.13 to -0.02),(-0.14 to -0.02),(-0.15 to -0.02),(-0.16 to -0.02),(-0.15 to -0.02),(-0.18 to 0.02),(-0.17 to 0.02),(-0.17 to 0.02),(-0.17 to 0.03)
Other Lands Converted to Forest Land,0.17,0.19,0.19,0.20,0.21,0.22,0.22,0.22,0.23,0.23,0.24,0.25,0.26,0.27,0.27,0.30,0.30,0.31,0.32,0.32,0.32,0.31,0.31,0.32,0.31,0.31,0.31,0.31,0.31,0.31
  ,(0.13 to 0.21),(0.15 to 0.22),(0.15 to 0.22),(0.14 to 0.23),(0.14 to 0.25),(0.14 to 0.25),(0.15 to 0.26),(0.16 to 0.26),(0.15 to 0.28),(0.15 to 0.27),(0.17 to 0.29),(0.18 to 0.3),(0.19 to 0.3),(0.2 to 0.32),(0.21 to 0.33),(0.22 to 0.36),(0.23 to 0.36),(0.23 to 0.37),(0.23 to 0.38),(0.23 to 0.38),(0.22 to 0.38),(0.21 to 0.38),(0.21 to 0.38),(0.19 to 0.39),(0.19 to 0.41),(0.17 to 0.43),(0.13 to 0.5),(0.12 to 0.5),(0.12 to 0.51),(0.11 to 0.51)
Settlements Converted to Forest Land,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02
  ,(0 to 0.02),(0 to 0.02),(0.01 to 0.02),(0.01 to 0.01),(0.01 to 0.01),(0.01 to 0.01),(0.01 to 0.01),(0.01 to 0.01),(0.01 to 0.01),(0.01 to 0.01),(0.01 to 0.01),(0.01 to 0.01),(0.01 to 0.01),(0.01 to 0.01),(0.01 to 0.01),(0.01 to 0.01),(0.01 to 0.01),(0.01 to 0.01),(0.01 to 0.01),(0.01 to 0.01),(0.01 to 0.01),(0.01 to 0.02),(0.01 to 0.02),(0.01 to 0.02),(0.01 to 0.02),(0.02 to 0.02),(0.01 to 0.02),(0.01 to 0.02),(0.01 to 0.02),(0.01 to 0.02)
Wetlands Converted to Forest Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  ,(0 to 0),(0 to 0),(0 to 0),(0 to 0),(0 to 0),(0 to 0),(0 to 0),(0 to 0),(0 to 0),(0 to 0),(0 to 0),(0 to 0),(0 to 0),(0 to 0),(0 to 0),(0 to 0),(0 to 0),(0 to 0),(0 to 0),(0 to 0),(0 to 0),(0 to 0),(0 to 0),(0 to 0),(0 to 0),(0 to 0),(0 to 0),(0 to 0),(0 to 0),(0 to 0)
Total Lands Converted to Forest Lands,0.22,0.22,0.21,0.22,0.24,0.25,0.24,0.23,0.25,0.25,0.26,0.26,0.27,0.28,0.28,0.30,0.31,0.31,0.31,0.31,0.31,0.31,0.30,0.30,0.29,0.30,0.31,0.31,0.31,0.31
"Note: The range is a 95 percent confidence interval from 50,000 simulations (Ogle et al. 2003, 2006).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
