"Table A-201:  Total Soil N2O Emissions (Direct and Indirect), Soil Organic C Stock Changes and Rice CH4 Emissions from Agricultural Lands by State in 2015 (MMT CO2 Eq.)",,,,,,
State,N2O Emissions a,,Soil Organic C Stock Change,,Rice,Total Emissions
,Croplands,Grasslands,Croplands,Grasslands,CH4,
AL,1.34,1.15,-0.39,-1,0,1.1
AR,5.3,1.37,-0.65,-0.72,6.39,11.69
AZ,0.24,3.82,0.16,-0.27,0,3.95
CA,1.08,2.07,0.45,-3.57,4.14,4.17
CO,3.38,4.37,0.06,-2.24,0,5.57
CT,0.06,0.02,-0.05,-0.05,0,-0.02
DE,0.17,0.02,-0.04,-0.03,0,0.12
FL,0.25,1.68,11.88,0.16,0,13.97
GA,1.83,0.82,0.35,-0.55,0,2.45
HIb,NE,NE,0.29,0.53,0,0.82
IA,21.23,2.14,-3.83,-1.15,0,18.39
ID,2.04,1.01,-0.25,-2.05,0,0.76
IL,18.43,0.93,-6.23,-0.65,0,12.48
IN,9.02,0.61,0.51,-0.52,0,9.63
KS,16.28,4.98,-0.77,-1.3,0,19.19
KY,3.66,2.28,-0.3,-0.76,0,4.88
LA,3.32,0.92,-0.85,-0.55,2.57,5.41
MA,0.08,0.03,0.21,-0.02,0,0.3
MD,0.73,0.16,-0.04,-0.11,0,0.74
ME,0.16,0.07,-0.12,0.02,0,0.13
MI,3.73,0.7,2.5,-0.25,0,6.68
MN,13.26,1.39,5.75,1.18,0.01,21.6
MO,10.71,3.48,-2.93,-0.85,0,10.41
MS,3.5,0.84,-1.04,-0.73,1,3.57
MT,6.43,6.74,-1.52,1.27,0,12.91
NC,2.09,0.6,1.95,-0.63,0,4.01
ND,7.8,2.04,-3.12,-1.7,0,5.02
NE,13.18,4.94,-2.87,-1.15,0,14.1
NH,0.06,0.03,-0.04,0.01,0,0.05
NJ,0.14,0.04,-0.01,-0.07,0,0.11
NM,0.55,6.63,0.02,2.95,0,10.16
NV,0.2,1.1,-0.03,-1.37,0,-0.1
NY,2.27,1.04,-0.91,-0.13,0,2.28
OH,7.25,0.72,-1.79,-0.84,0,5.34
OK,4.56,5.26,0.55,-1.39,0,8.98
OR,0.96,1.11,-0.07,-1.65,0,0.35
PA,2.7,0.67,-1.33,-0.77,0,1.27
RI,0.01,0.01,0.02,-0.01,0,0.03
SC,1.09,0.37,-0.18,-0.37,0,0.9
SD,10.84,4.66,-1.99,-0.89,0,12.62
TN,2.6,1.67,-0.63,-0.6,0,3.04
TX,13.66,16.72,2.1,-1.11,1.43,32.8
UT,0.6,1.26,0.22,-3.72,0,-1.65
VA,1.43,1.26,-0.73,-0.42,0,1.54
VT,0.35,0.16,-0.11,0.01,0,0.42
WA,1.69,0.7,-0.03,0.01,0,2.37
WI,5.98,1.18,2.18,0.24,0,9.58
WV,0.24,0.48,-0.3,-0.29,0,0.12
WY,0.77,3.79,-0.22,0.03,0,4.38
a This table only includes N2O emissions estimated by DayCent using the Tier 3 method.  ,,,,,,
"b N2O emissions are not reported for Hawaii except from cropland organic soils, which are estimated with the Tier 1 method and therefore not included in this table.",,,,,,
