Table A-15:  2015 Energy Consumption Data and CO2 Emissions from Fossil Fuel Combustion by Fuel Type,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Adjusted Consumption (TBtu) a,,,,,,,Emissions b (MMT CO2 Eq.) from Energy Use,,,,,,
Fuel Type,Res.,Comm.,Ind.,Trans.,Elec. ,Terr.,Total,Res.,Comm.,Ind.,Trans.,Elec. ,Terr.,Total
Total Coal,NO,31.1,733.9,NO,"14,138.3",44.9,"14,948.1",NO,3.0,70.0,NO,"1,351.4",4.1,"1,428.5"
Residential Coal,NO,,,,,,NO,NO,,,,,,NO
Commercial Coal,,31.1,,,,,31.1,,3.0,,,,,3.0
Industrial Other Coal,,,733.9,,,,733.9,,,70.0,,,,70.0
Transportation Coal,,,,NO,,,NO,,,,NO,,,NO
Electric Power Coal,,,,,"14,138.3",,"14,138.3",,,,,"1,351.4",,"1,351.4"
U.S. Territory Coal (bit),,,,,,44.9,44.9,,,,,,4.1,4.1
Natural Gas ,"4,776.9","3,315.6","8,678.5",744.8,"9,926.5",57.4,"27,499.8",252.7,175.4,459.1,39.4,525.2,3.0,"1,454.9"
Total Petroleum,938.9,937.9,"3,580.7","23,435.1",276.0,303.8,"29,472.5",64.6,66.2,268.2,"1,679.8",23.7,22.1,"2,124.5"
Asphalt & Road Oil,,,,,,,,,,,,,,
Aviation Gasoline,,,,21.1,,,21.1,,,,1.5,,,1.5
Distillate Fuel Oil,483.1,315.5,"1,018.0","6,170.4",70.4,78.8,"8,136.2",35.8,23.4,75.5,457.5,5.2,5.8,603.2
Jet Fuel,,,,"2,181.9",NA,36.0,"2,217.9",,,,157.6,NA,2.6,160.2
Kerosene,10.1,1.4,1.7,,,0.1,13.4,0.7,0.1,0.1,,,+ ,1.0
LPG (Propane),445.7,148.0,,6.6,,,600.3,28.0,9.3,,0.4,,,37.7
HGL,,,243.3,,,6.2,249.5,,,15.5,,,0.4,15.9
Lubricants,,,,,,,,,,,,,,
Motor Gasoline,,468.6,321.4,"14,998.5",,113.0,"15,901.4",,33.1,22.7,"1,058.6",,8.0,"1,122.4"
Residual Fuel,,4.0,,56.6,93.9,69.6,224.0,,0.3,,4.2,7.0,5.2,16.8
Other Petroleum,,,,,,,,,,,,,,
AvGas Blend Components,,,-0.3,,,,-0.3,,,(+),,,,(+)
Crude Oil,,,,,,,,,,,,,,
MoGas Blend Components,,,,,,,,,,,,,,
Misc. Products,,,,,,,,,,,,,,
Naphtha (<401 deg. F),,,,,,,,,,,,,,
Other Oil (>401 deg. F),,,,,,,,,,,,,,
Pentanes Plus,,,80.9,,,,80.9,,,5.4,,,,5.4
Petroleum Coke,,0.5,600.8,,111.7,,713.0,,0.1,61.3,,11.4,,72.8
Still Gas,,,"1,332.9",,,,"1,332.9",,,88.9,,,,88.9
Special Naphtha,,,,,,,,,,,,,,
Unfinished Oils,,,-17.8,,,,-17.8,,,-1.3,,,,-1.3
Waxes,,,,,,,,,,,,,,
Geothermal,,,,,54.3,,54.3,,,,,0.4,,0.4
Total (All Fuels),"5,715.9","4,284.6","12,993.1","24,180.0","24,395.0",406.1,"71,974.7",317.3,244.6,797.3,"1,719.2","1,900.6",29.2,"5,008.3"
Note: Parentheses indicate negative values.,,,,,,,,,,,,,,
+ Does not exceed 0.05 TBtu or 0.05 MMT CO2 Eq. ,,,,,,,,,,,,,,
NO (Not Occurring),,,,,,,,,,,,,,
NA (Not Available),,,,,,,,,,,,,,
"a Expressed as gross calorific values (i.e., higher heating values). Adjustments include biofuels, conversion of fossil fuels, non-energy use (see Table A-25), and international bunker fuel consumption (see Table A-26).",,,,,,,,,,,,,,
b Consumption and/or emissions of select fuels are shown as negative due to differences in EIA energy balancing accounting. These are designated with parentheses.,,,,,,,,,,,,,,
