"Table A-165: CH4 Emissions from Enteric Fermentation from Cattle (metric tons), by State, for 2017 [1]",,,,,,,,,,,,,
State,Dairy Calves,Dairy Cows,Dairy Replace-ment Heifers  ,Dairy Replace-ment Heifers 12-23 Months,Bulls,Beef Calves,Beef Cows,Beef Replace-ment Heifers 7-11 Months,Beef Replace-ment Heifers 12-23 Months,Steer Stockers,Heifer Stockers,Feedlot,Total
,,,7-11 Months,,,,,,,,,,
Alabama,44,966,63,224,"4,866","3,713","65,220","1,672","4,692","1,406","1,143",257,"84,265"
Alaska,2,29,1,5,280,27,472,15,42,15,17,3,909
Arizona,"1,223","30,231","1,591","5,656","2,078","1,064","18,486",571,"1,594","8,023","1,197","12,054","83,770"
Arkansas,37,705,44,156,"5,839","4,897","86,018","2,411","6,764","3,094","2,031",531,"112,527"
California,"10,947","255,718","10,337","36,743","7,272","3,788","65,807","1,954","5,454","18,166","5,129","20,614","441,929"
Colorado,967,"23,480","1,288","4,578","5,714","4,655","80,877","2,856","7,972","25,735","17,780","44,357","220,260"
Conn.,119,"2,901",137,486,49,27,472,28,78,56,32,9,"4,393"
Delaware,31,690,32,113,29,13,236,10,27,54,13,7,"1,254"
Florida,761,"19,772",552,"1,964","5,839","4,865","85,454","1,742","4,887",844,952,174,"127,806"
Georgia,518,"14,123",474,"1,683","3,211","2,663","46,774","1,533","4,301","1,041","1,587",247,"78,154"
Hawaii,15,297,14,48,416,426,"7,394",195,545,303,137,42,"9,832"
Idaho,"3,742","91,837","4,216","14,987","4,155","2,892","50,234","1,804","5,035","9,386","6,497","12,632","207,418"
Illinois,580,"12,214",670,"2,381","2,378","2,020","35,606","1,019","2,862","6,583","3,341","12,157","81,810"
Indiana,"1,154","25,708","1,030","3,663","1,617","1,096","19,321",679,"1,908","2,962","1,547","5,272","65,958"
Iowa,"1,341","30,612","1,739","6,181","6,659","5,037","88,785","2,512","7,060","35,930","16,707","55,763","258,326"
Kansas,936,"20,954","1,288","4,578","9,038","8,195","144,448","4,210","11,831","56,227","44,241","108,565","414,511"
Kentucky,356,"8,838",631,"2,244","6,812","5,481","96,277","2,090","5,865","6,047","3,650",845,"139,136"
Louisiana,75,"1,419",58,207,"3,017","2,400","42,162","1,185","3,323",703,635,133,"55,317"
Maine,187,"4,443",216,767,146,59,"1,038",56,157,113,96,21,"7,298"
Maryland,293,"6,737",417,"1,483",390,231,"4,058",154,431,395,191,427,"15,208"
Mass.,72,"1,540",101,358,98,35,613,28,78,56,32,9,"3,020"
Michigan,"2,651","64,570","2,190","7,783","1,522",626,"11,041",340,954,"4,635","1,238","7,126","104,675"
Minn.,"2,869","61,767","3,800","13,506","3,330","1,931","34,042","1,290","3,626","13,714","5,105","18,097","163,076"
Miss.,56,"1,257",95,337,"3,698","2,550","44,797","1,296","3,636","1,181",984,221,"60,109"
Missouri,530,"9,225",580,"2,060","11,416","10,726","189,071","5,025","14,121","12,617","7,270","5,129","267,770"
Montana,87,"1,912",116,412,"10,389","8,594","149,296","6,389","17,831","6,964","8,753","2,185","212,929"
Nebraska,374,"8,619",322,"1,145","10,465","10,021","176,650","5,093","14,312","62,809","42,695","117,788","450,292"
Nevada,187,"4,331",150,532,"1,454","1,272","22,103",616,"1,720","1,362",992,133,"34,853"
N. Hamp.,84,"1,999",86,307,49,27,472,14,39,42,32,7,"3,158"
N. Jersey,41,931,53,189,98,40,708,22,63,59,38,10,"2,252"
N. Mexico,"2,027","50,486","1,496","5,318","3,636","2,689","46,718","1,503","4,196","3,633","3,077",619,"125,399"
New York,"3,867","99,361","5,108","18,157","1,952",591,"10,381",629,"1,765","1,270","1,592",912,"145,586"
