Table A-153: DE Values with Representative Regional Diets for the Supplemental Diet of Grazing Beef Cattle for 1990–2006,,,,,,,,,
Feed,Source of DE,Unweighted,California a ,West,Northern,Southcentral,Northeast,Midwest,Southeast
,(NRC 1984),DE (% of GE),,,Great Plains,,,,
Alfalfa Hay,"Table 8, feed #006",61.79,65%,30%,30%,29%,12%,30%,
Barley,,85.08,10%,15%,,,,,
Bermuda  ,"Table 8, feed #030",66.29,,,,,,,35%
Bermuda Hay,"Table 8, feed #031",50.79,,,,40%,,,
Corn ,"Table 8, feed #089",88.85,10%,10%,25%,11%,13%,13%,
Corn Silage,"Table 8, feed #095",72.88,,,25%,,20%,20%,
Cotton Seed Meal,,,,,,7%,,,
Grass Hay,"Table 8, feed #126, 170, 274",58.37,,40%,,,,30%,
Orchard,"Table 8, feed #147",60.13,,,,,,,40%
Soybean Meal Supplement,,77.15,,5%,5%,,,,5%
Sorghum,"Table 8, feed #211",84.23,,,,,,,20%
Soybean Hulls,,66.86,,,,,,7%,
Timothy Hay,"Table 8, feed #244",60.51,,,,,50%,,
Whole Cotton Seed,,75.75,5%,,,,5%,,
Wheat Middlings,"Table 8, feed #257",68.09,,,15%,13%,,,
Wheat  ,"Table 8, feed #259",87.95,10%,,,,,,
Weighted Supplement DE (%),,,70.1,67.4,73,62,67.6,66.9,68
Percent of Diet that is Supplement,,,5%,10%,15%,10%,15%,10%,5%
Source of representative regional diets: Donovan (1999).,,,,,,,,,
"a Note that emissions are currently calculated on a state-by-state basis, but diets are applied by the regions shown in the table above.",,,,,,,,,
