Table A-12:  2018 Energy Consumption Data and CO2 Emissions from Fossil Fuel Combustion by Fuel Type,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Adjusted Consumption (TBtu) a,,,,,,,Emissions b (MMT CO2 Eq.) from Energy Use,,,,,,
Fuel Type,Res.,Comm.,Ind.,Trans.,Elec. ,Terr.,Total,Res.,Comm.,Ind.,Trans.,Elec. ,Terr.,Total
Total Coal,NO,18.7,569.0,NO,12053.0,27.1,12667.9,NO,1.8,54.4,NO,1152.9,2.5,1211.6
Residential Coal,NO,,,,,,NO,NO,,,,,,NO
Commercial Coal,,18.7,,,,,18.7,,1.8,,,,,1.8
Industrial Other Coal,,,569.0,,,,569.0,,,54.4,,,,54.4
Transportation Coal,,,,NO,,,NO,,,,NO,,,NO
Electric Power Coal,,,,,12053.0,,12053.0,,,,,1152.9,,1152.9
U.S. Territory Coal (bit),,,,,,27.1,27.1,,,,,,2.5,2.5
Natural Gas ,"5,174.40",3638.3,9334.9,962.2,10912.1,48.1,30070.0,273.8,192.5,494.0,50.9,577.4,2.5,1591.2
Total Petroleum,943.6,733.3,3544.4,24606.6,260.4,269.1,30357.4,64.2,51.4,265.2,1765.6,22.2,19.5,2188.2
Asphalt & Road Oil,,,,,,,,,,,,,,
Aviation Gasoline,,,,22.4,,,22.4,,,,1.5,,,1.5
Distillate Fuel Oil,428.8,273.0,1052.9,6476.5,80.6,80.3,8392.1,31.8,20.2,78.1,480.2,6.0,6.0,622.2
Jet Fuel,,,,2386.0,NA,30.8,2416.8,,,,172.3,NA,2.2,174.5
Kerosene,8.2,1.3,1.6,,,0.5,11.7,0.6,0.1,0.1,,,+,0.9
LPG (Propane),506.5,176.0,,7.7,,,690.2,31.8,11.1,,0.5,,,43.4
HGL,,,127.3,,,6.4,133.7,,,8.1,,,0.4,8.6
Lubricants,,,,,,,,,,,,,,
Motor Gasoline,,279.5,205.6,15527.5,,105.0,16117.7,,19.8,14.5,1097.1,,7.4,1138.8
Residual Fuel,,3.1,,186.5,78.3,46.2,314.0,,0.2,,14.0,5.9,3.5,23.6
Other Petroleum,,,,,,,,,,,,,,
AvGas Blend Components,,,-1.6,,,,-1.6,,,-0.1,,,,-0.1
Crude Oil,,,,,,,,,,,,,,
MoGas Blend Components,,,,,,,,,,,,,,
Misc. Products,,,,,,,,,,,,,,
Naphtha (<401 deg. F),,,,,,,,,,,,,,
Other Oil (>401 deg. F),,,,,,,,,,,,,,
Pentanes Plus,,,112.7,,,,112.7,,,7.5,,,,7.5
Petroleum Coke,,0.4,569.8,,101.5,,671.6,,+,58.2,,10.4,,68.6
Still Gas,,,1445.3,,,,1445.3,,,96.4,,,,96.4
Special Naphtha,,,,,,,,,,,,,,
Unfinished Oils,,,30.9,,,,30.9,,,2.3,,,,2.3
Waxes,,,,,,,,,,,,,,
Geothermal,,,,,54.5,,54.5,,,,,0.4,,0.4
Total (All Fuels),"6,118.00",4390.3,13448.3,25568.8,23279.9,344.4,73149.7,338.1,245.7,813.6,1816.6,1752.9,24.6,4991.4
Note: Parentheses indicate negative values.,,,,,,,,,,,,,,
+ Does not exceed 0.05 TBtu or 0.05 MMT CO2 Eq. ,,,,,,,,,,,,,,
NO (Not Occurring),,,,,,,,,,,,,,
NA (Not Available),,,,,,,,,,,,,,
"a Expressed as gross calorific values (i.e., higher heating values). Adjustments include biofuels, conversion of fossil fuels, non-energy use (see Table A-25), and international bunker fuel consumption (see Table A-26).",,,,,,,,,,,,,,
b Consumption and/or emissions of select fuels are shown as negative due to differences in EIA energy balancing accounting. These are designated with parentheses.,,,,,,,,,,,,,,
