Table 3-9:  N2O Emissions from Stationary Combustion (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sector/Fuel Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Electric Power,20.5,20.5,20.6,21.5,21.9,22.1,22.7,23.3,24,24,25.3,25.2,26.4,27.6,28.8,30.1,29.8,30.3,30,27.9,30.1,28.9,26.5,28.6,28.9,26.5,26.2,24.8,24.4,21.1
,Coal,20.1,20.1,20.2,21.1,21.5,21.7,22.3,22.8,23.3,23.3,24.5,24.1,25,26.1,27,28,27.7,27.8,27.6,25.4,27.4,26.1,23.1,25.5,25.7,22.8,22.4,21.2,20.3,16.7
,Fuel Oil,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+,+,+,+,+,+,+,+ ,+ ,+ ,+ ,+ 
,Natural Gas,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.7,0.9,1.3,1.4,1.7,1.9,2.1,2.3,2.3,2.5,2.7,2.7,3.4,3.1,3.1,3.7,3.8,3.6,4.1,4.4
,Wood,+ ,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+ ,+,+,+,+,+,+,+,+,+,+ ,+ ,+ ,+ ,+ 
,Industrial,3.1,3,3.1,3.1,3.2,3.3,3.3,3.4,3.2,3.1,3.1,3,2.8,2.8,3,2.9,3,2.9,2.7,2.3,2.7,2.7,2.7,2.8,2.7,2.6,2.6,2.5,2.5,2.5
,Coal,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.2
,Fuel Oil,0.5,0.4,0.5,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4
,Natural Gas,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
,Wood,1.6,1.6,1.7,1.7,1.8,1.9,1.9,2,1.8,1.8,1.9,1.6,1.6,1.5,1.7,1.6,1.7,1.6,1.5,1.3,1.6,1.6,1.7,1.7,1.7,1.7,1.7,1.6,1.6,1.6
