Table 3-6:  Annual Change in CO2 Emissions and Total 2019 CO2 Emissions from Fossil Fuel Combustion for Selected Fuels and Sectors (MMT CO2 Eq. and Percent),,,,,,,,,,,
,,,,,,,,,,,
,Sector,Fuel Type,2015 to 2016,,2016 to 2017,,2017 to 2018,,2018 to 2019,,Total 2019
,Electric Power ,Coal,-109.4,-8.10%,-34.9,-2.80%,-54.2,-4.50%,-179.3,-15.60%,973.5
,Electric Power,Natural Gas,19.8,3.80%,-39.4,-7.20%,71.8,14.20%,38.5,6.70%,616
,Electric Power,Petroleum,-2.2,-9.40%,-2.5,-11.80%,3.3,17.40%,-6.1,-27.30%,16.2
,Transportation,Petroleum,40,2.40%,20.4,1.20%,25.5,1.50%,-3.2,-0.20%,"1,762.50"
,Residential,Natural Gas,-14.3,-5.70%,3.1,1.30%,32.3,13.40%,1.5,0.50%,275.3
,Commercial,Natural Gas,-4.9,-2.80%,2.6,1.60%,19.3,11.20%,0.3,0.10%,192.8
,Industrial,Natural Gas,4.8,1.00%,5.6,1.20%,24.5,5.20%,9.3,1.90%,503.3
,Electric Power,All Fuels a,-91.8,-4.80%,-76.8,-4.20%,20.9,1.20%,-146.9,-8.40%,"1,606.00"
,Transportation,All Fuels a,40.6,2.40%,22.6,1.30%,34.1,1.90%,0.6,+%,"1,817.20"
,Residential,All Fuels a,-24.5,-7.70%,0.6,0.20%,44.7,15.20%,-1.3,-0.40%,336.8
,Commercial,All Fuels a,-13,-5.30%,0.4,0.20%,13.7,5.90%,4,1.60%,249.7
,Industrial,All Fuels a,-4.8,-0.60%,-2.4,-0.30%,23.5,3.00%,8.9,1.10%,822.5
,All Sectors a,All Fuels a,-96.7,-1.90%,-57.1,-1.20%,136.9,2.80%,-134.7,-2.70%,"4,856.70"
,a Includes sector and fuel combinations not shown in this table.,,,,,,,,,,
,+ Does not exceed 0.05 percent.,,,,,,,,,,
