Table 3-51:  Associated Gas Flaring National CO2 Emissions (kt CO2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,"220 - Gulf Coast Basin (LA, TX)",227,227,234,224,212,193,178,176,171,163,145,146,143,135,133,126,118,114,112,105,118,183,320,475,629,672,404,744,643,584
,360 - Anadarko Basin,108,108,104,99,98,95,93,89,85,82,74,71,71,68,66,66,69,74,84,87,97,129,172,206,233,242,1,64,82,18
,395 - Williston Basin,987,987,969,896,848,780,811,861,929,937,865,867,864,863,885,"1,021","1,402","1,475","1,739","1,989","2,564","3,292","5,029","6,396","7,943","8,567","6,091","6,908","11,140","16,572"
,430 - Permian Basin,"2,983","2,983","2,987","2,834","2,704","2,636","2,615","2,622","2,621","2,503","2,283","2,263","2,208","2,141","2,112","2,072","2,037","2,027","2,092","2,097","2,202","2,440","2,876","3,266","3,890","4,468","2,261","3,209","6,782","7,161"
,"""Other"" Basins",935,935,932,896,837,806,768,738,718,674,606,585,564,559,548,526,479,479,475,458,450,447,457,485,529,548,324,387,641,"1,021"
,Total Emissions,"5,241","5,241","5,226","4,948","4,699","4,510","4,465","4,487","4,524","4,359","3,974","3,932","3,850","3,766","3,743","3,811","4,105","4,168","4,503","4,736","5,430","6,490","8,853","10,828","13,223","14,498","9,081","11,313","19,287","25,356"
,"220 - Gulf Coast Basin (LA, TX)",234,,,,,,,,,,,,,,,127,,,,,,,,,,673,404,740,686,NA
,360 - Anadarko Basin,108,,,,,,,,,,,,,,,65,,,,,,,,,,238,2,57,37,NA
,395 - Williston Basin,966,,,,,,,,,,,,,,,"1,239",,,,,,,,,,"8,412","5,838","6,530","10,132",NA
,430 - Permian Basin,"2,983",,,,,,,,,,,,,,,"2,046",,,,,,,,,,"4,443","2,246","3,148","7,249",NA
,"""Other"" Basins",925,,,,,,,,,,,,,,,499,,,,,,,,,,544,326,414,876,NA
,Previous Estimate,"5,217",,,,,,,,,,,,,,,"3,977",,,,,,,,,,"14,311","8,815","10,889","18,980",NA
,NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
