Table 3-16:  Carbon Intensity from Direct Fossil Fuel Combustion by Sector (MMT CO2 Eq./QBtu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Residential a,57.4,57.2,57.1,56.9,56.8,56.7,56.7,56.7,56.6,56.7,56.8,57.1,56.7,56.9,57.1,56.8,56.7,56.4,56.1,56,56,55.9,55.6,55.4,55.5,55.5,55.2,55.1,55.3,55.1
,Commercial a,59.7,59.3,58.8,58.3,58.3,57.9,57.8,57.6,57.3,57.2,57.5,57.7,57.3,57.6,57.9,57.8,57.5,57.3,57,57.2,57.1,56.9,56.4,56,55.7,57.1,56.7,56.5,56,56.1
,Industrial a,64.5,64.2,64,63.9,63.9,63.4,63.3,63.3,63.4,63.4,63.2,64.1,63.6,63.9,64.1,64.6,64.8,64.4,63.8,63.4,63.3,62.9,62.4,62.1,61.6,61.4,61,60.8,60.5,60.3
,Transportation a,71.1,71.2,71.4,71.2,71,71,71.2,71.1,71.3,71.2,71.8,71.4,71.5,72.1,71.7,71.5,71.8,72,71.4,71.5,71.4,71.4,71.3,71.1,71.1,71.1,71.1,71.2,71,71
,Electric Power b,87.3,87.3,87.3,87.2,86.6,86.5,87.4,87.1,86.4,86.2,86.1,85.7,85.7,86.5,86.2,85.8,85.3,84.7,84.9,83.7,83.6,82.9,79.9,81.3,81.2,78.1,76.8,77.3,75.5,73
,U.S. Territories c,72.3,72,72.8,72.7,72.8,72.1,71.9,71.9,71.9,70.6,71.5,72.1,71.6,72.7,72.8,72.6,73.1,72.8,72.8,73.1,73.4,73.2,72.3,71.2,71.6,72,71,71.3,71.3,71.3
,All Sectors c,73.1,72.9,72.9,72.9,72.7,72.5,72.7,72.8,73,73,73.2,73.2,73.1,73.6,73.5,73.6,73.6,73.4,73,72.5,72.5,72,70.9,70.8,70.6,69.6,69.2,69.1,68.3,67.3
,Note: Excludes non-energy fuel use emissions and consumption. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a Does not include electricity or renewable energy consumption.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b Does not include electricity produced using nuclear or renewable energy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,c Does not include nuclear or renewable energy consumption.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
