Table 7-1:  Emissions from Waste (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,,,CH4,197.1,199.8,199.9,198.1,198.2,193.5,190,180.8,171.5,165.1,162,157.5,156.2,158.6,156.2,153.4,151.2,149.1,147,144.4,145.2,136.6,137.9,134.1,133.6,132.5,129.2,130.5,132.9,135.3
,,,Landfills,176.6,178.9,178.6,176.6,176.3,171.7,168.3,158.9,149.5,142.9,139.7,135.4,134.1,136.5,134.1,131.4,129.3,127.2,125.1,123,124.1,115.4,116.6,113,112.6,111.4,108,109.4,112.1,114.5
,,,Wastewater Treatment,20.2,20.5,20.9,20.9,21.1,20.9,20.7,20.7,20.8,20.9,20.8,20.5,20.6,20.4,20.2,20.1,20,19.9,19.8,19.4,19.2,19.2,19.2,18.9,18.7,18.8,18.7,18.5,18.4,18.4
,,,Composting,0.4,0.4,0.5,0.6,0.8,0.9,1,1.1,1.2,1.3,1.5,1.5,1.5,1.7,1.9,1.9,1.9,2,2,1.9,1.8,1.9,1.9,2,2.1,2.1,2.3,2.4,2.3,2.3
,,,Anaerobic Digestion at Biogas Facilities ,+ ,+,+,+,+,+,+,+,+,+,+,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2
,,,N2O,19,19.5,20,20.4,21.1,21.3,21.7,21.9,22.5,23.3,23.8,23.5,23.9,24.3,24.7,24.6,25.2,25.3,25.2,25,25.3,25.5,26.4,26.7,27,27.3,27.9,28.6,28.2,28.4
,,,Wastewater Treatment,18.7,19.1,19.6,19.8,20.4,20.5,20.9,20.9,21.5,22.1,22.4,22.2,22.5,22.8,23.1,23,23.5,23.6,23.4,23.3,23.6,23.9,24.7,24.9,25.1,25.4,25.9,26.4,26.1,26.4
,,,Composting,0.3,0.4,0.4,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.3,1.4,1.5,1.7,1.7,1.7,1.8,1.8,1.7,1.6,1.7,1.7,1.8,1.9,1.9,2,2.2,2,2
,,,Total,216.2,219.3,220,218.5,219.3,214.7,211.7,202.7,194,188.5,185.8,181,180.1,183,181,178,176.4,174.4,172.2,169.4,170.5,162.2,164.3,160.8,160.6,159.8,157.1,159,161.1,163.7
,,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
