Table 7-3:  CH4 Emissions from Landfills (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,MSW CH4 Generation a,205.3,211.0,215.6,219.8,224.3,228.5,231.8,234.8,238.0,242.4,246.8,252.1,256.7,261.9,266.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Industrial CH4 Generation,12.1,12.3,12.5,12.8,13.1,13.5,13.8,14.2,14.5,14.8,15.1,15.4,15.5,15.7,15.8,16.0,16.0,16.1,16.3,16.4,16.4,16.5,16.5,16.6,16.6,16.6,16.6,16.7,16.7,16.7
,MSW CH4 Recovered,-21.3,-24.6,-29.7,-36.3,-41.4,-51.2,-58.6,-72.4,-86.4,-98.5,-106.7,-117.1,-123.3,-126.0,-133.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,MSW CH4 Oxidized,-18.4,-18.6,-18.6,-18.3,-18.3,-17.7,-17.3,-16.2,-15.2,-14.4,-14.0,-13.5,-13.3,-13.6,-13.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Industrial CH4 Oxidized,-1.2,-1.2,-1.3,-1.3,-1.3,-1.3,-1.4,-1.4,-1.4,-1.5,-1.5,-1.5,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7
,MSW net CH4 Emissions (GHGRP),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,117.0,114.8,112.7,110.5,108.3,109.3,100.6,101.7,98.1,97.7,96.4,93.1,94.4,97.0,99.4
,Industrial CH4 Emissions b,10.9,11.1,11.3,11.5,11.8,12.1,12.4,12.7,13.0,13.3,13.6,13.9,14.0,14.1,14.2,14.4,14.4,14.5,14.6,14.7,14.8,14.8,14.9,14.9,14.9,15.0,15.0,15.0,15.0,15.1
,Total,176.6,178.9,178.6,176.6,176.3,171.7,168.3,158.9,149.5,142.9,139.7,135.4,134.1,136.5,134.1,131.4,129.3,127.2,125.1,123.0,124.1,115.4,116.6,113.0,112.6,111.4,108.0,109.4,112.1,114.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a MSW CH4 generation is not estimated after 2005 because the directly reported net CH4 emissions from the GHGRP are used.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b Methane recovery is not calculated for industrial landfills because this is not a common practice in the United States. Only 1 landfill of 169 that report to Subpart TT (Industrial Waste Landfills) of the GHGRP had an active gas collection and control system during the year 2019 (EPA 2020b).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,“-” Not applicable due to methodology change. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Note: Totals may not sum due to independent rounding. Parentheses indicate negative values. For years 1990 to 2004, the Inventory methodology for MSW landfills uses the first order decay methodology. A methodological change occurs in year 2005. For years 2005 to 2019, directly reported net CH4 emissions from the GHGRP data plus a scale-up factor are used to account for emissions from landfill facilities that are not subject to the GHGRP. These data incorporate CH4 recovered and oxidized for MSW landfills. As such, CH4 generation and CH4 recovery are not calculated separately. See the Time-Series Consistency section of this chapter for more information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
