Table 7-33:  Variables and Data Sources for N2O Emissions from Centrally Treated Anaerobic Systems,,,
,,,
Variable,Variable Description,Units,Inventory Years: Source of Value
Emissions from Centrally Treated Anaerobic Systems,,,
TNDOM_CENTRAL,Total nitrogen entering centralized treatment,kg N/year,1990-2019: Calculated
% anaerobic,Percent centralized wastewater that is anaerobically treateda,%,"1990, 1991: Set equal to 1992"
,,,"1992, 1996, 2000, 2004: (EPA 1992, 1996, 2000, 2004a), respectively"
,,,Data for intervening years obtained by linear interpolation.
,,,2005-2019: Forecasted from the rest of the time series
EFanaerobic,Emission factor for anaerobic reactors/deep lagoons (0),kg N2O-N/kg N,1990-2019: IPCC (2019)
44/28,Conversion factor,Molecular weight ratio of N2O to N2,Standard conversion
1/106,Conversion factor,mg to kg,Standard conversion
a Value of this activity data varies over the Inventory time series.,,,
