Table 4-38:  Production and Consumption of Silicon Carbide (Metric Tons),,,
,,,
,Year,Production,Consumption
,1990,105000,172465
,1991,78900,138651
,1992,84300,159902
,1993,74900,173508
,1994,84700,179055
,1995,75400,227395
,1996,73600,241270
,1997,68200,292065
,1998,69800,329086
,1999,65000,225514
,2000,45000,225070
,2001,40000,162580
,2002,30000,181189
,2003,35000,190842
,2004,35000,229691
,2005,35000,220149
,2006,35000,199937
,2007,35000,179741
,2008,35000,144928
,2009,35000,92280
,2010,35000,154540
,2011,35000,136222
,2012,35000,114265
,2013,35000,134055
,2014,35000,140733
,2015,35000,153474
,2016,35000,142104
,2017,35000,163492
,2018,35000,168526
,2019,35000,152410
